round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,37.668,49.83,9.033617053180933,0.0
2,54.652,59.12,7.348846215754747,-0.22220957279205322
3,63.872,64.88,7.165479398332536,-0.22897940874099731
4,68.976,68.23,7.26335330773145,-0.152594784895579
5,73.654,72.45,7.107357505708933,-0.26240813732147217
6,76.57,75.08,7.346439739689231,-0.2692448735237122
7,78.914,76.99,7.2195387147367,-0.3177257180213928
8,80.67,78.61,7.2726746667176485,-0.3000460777963911
9,82.072,79.5,7.460640901699662,-0.3902927227318287
10,83.308,82.79,7.324405449442565,-0.3643527858787113
11,84.114,82.07,7.159432358108461,-0.31704987585544586
12,85.208,83.0,7.271967183798552,-0.28792538155208935
13,86.328,83.17,7.119724555872381,-0.25067755083243054
14,86.854,82.71,7.444275206886232,-0.2550480090654813
15,88.052,81.81,7.334252942353487,-0.18585472873279027
16,88.474,83.99,7.366339950822294,-0.26902362902959187
17,89.144,82.44,7.414220001548529,-0.1980811096727848
18,89.744,84.41,7.1961566703394055,-0.23088445032344146
19,90.01,85.48,7.335282261483371,-0.2848926915062798
20,90.67,83.35,7.327949183061719,-0.1342840414298208
21,91.042,84.82,7.255138419568539,-0.1838071674108505
22,91.416,85.63,7.44197095464915,-0.22160295503480093
23,91.53,84.85,7.407519515603781,-0.1876004175706343
24,92.308,85.89,7.1599122397601604,-0.1917044714741085
25,92.514,84.08,7.235153637826443,-0.08416661868492763
26,92.818,86.55,7.220101720653474,-0.1998773396015167
27,93.408,86.39,7.2822015611454844,-0.18837449413079482
28,93.298,86.28,7.233627999201417,-0.22297497590382895
29,93.86,83.9,7.455032153986394,-0.07549178493874413
30,94.132,87.87,7.275488144718111,-0.2340575703259172
31,94.194,86.36,7.34240972623229,-0.1709307680527369
32,94.732,87.93,7.251066833734512,-0.22186205608229484
33,94.838,88.2,7.3004523469135165,-0.21395334787666798
34,94.968,86.85,7.32571090105921,-0.1759608080892852
35,95.236,87.81,7.247043956071138,-0.19431744910338344
36,95.53,88.31,7.281850600615144,-0.23278092060770308
37,95.466,88.67,7.28439375013113,-0.2021198028491603
38,95.91,88.79,7.399529358372092,-0.22432351273459358
39,96.126,88.82,7.287853084504604,-0.2203389731676955
40,95.992,88.01,7.297595755197108,-0.16381582961632654
41,96.48,87.16,7.173396940343082,-0.1296032290905714
42,96.68,87.68,7.13122773822397,-0.13693391477189412
43,96.598,87.98,7.218387329019606,-0.10030711548668998
44,96.548,88.08,7.187380927614868,-0.11454738711201867
45,96.724,88.13,7.329553200863302,-0.1477563205090436
46,96.788,87.94,7.329236819408834,-0.13065986103481717
47,97.114,87.55,7.174708667211235,-0.06664590569941894
48,96.994,87.62,7.129445852711797,-0.10636701894567367
49,97.264,89.09,7.342289003543556,-0.15245122214158377
50,97.218,87.27,7.258239962160587,-0.07750486841007155
51,97.564,88.32,7.4111468605697155,-0.14767836660146713
52,97.458,88.81,7.277159370481968,-0.12146630094331853
53,97.452,88.5,7.416609521023929,-0.11663591718444458
54,97.77,88.63,7.532838830724359,-0.12459558473443086
55,97.67,89.5,7.233972839079797,-0.13366900108478688
56,97.768,89.68,7.3302357867360115,-0.13829978921196678
57,97.962,88.52,7.292219180613756,-0.059449774346181324
58,98.042,88.99,7.288737234659493,-0.10208971275572191
59,98.022,88.92,7.237216739915311,-0.1091298026771381
60,97.91,88.35,7.207855224609375,-0.06419462167610557
61,97.672,88.82,7.29489007499069,-0.09379751607775688
62,97.894,88.28,7.269655176438391,-0.06739585468026459
63,98.264,89.17,7.389403883367777,-0.09708780002209448
64,98.51,89.73,7.137714245356619,-0.11409141501737019
65,98.216,87.21,7.193425729870796,0.003653545631095767
66,98.3,89.36,7.273478872142732,-0.11014121060188
67,98.384,89.69,7.434692402370274,-0.08985343643210152
68,98.622,89.04,7.326835308223963,-0.060562226532110526
69,98.204,88.64,7.154894424602389,-0.07480255711604566
70,98.488,89.31,7.4480817951262,-0.09966889822828597
71,98.498,88.98,7.2817046185955405,-0.06613553549562182
72,98.762,89.59,7.241879617795348,-0.08754063827890746
73,98.456,90.28,7.348333192057908,-0.12973520335637861
74,98.374,90.14,7.305393825285137,-0.12151645368909182
75,98.504,90.17,7.294497054070234,-0.11896947167209677
76,98.57,88.63,7.329443464055657,-0.014717561403910319
77,98.758,89.65,7.518089259043336,-0.08248406295713626
78,98.744,89.87,7.11573242675513,-0.09269466628501942
79,98.624,88.97,7.343924556858838,-0.04814766462032612
80,98.444,90.19,7.415900708176196,-0.09421659619370594
81,98.66,89.56,7.231443031691015,-0.08247650787234306
82,98.638,90.77,7.1022296426817775,-0.14818799431309287
83,98.644,90.14,7.335183613933623,-0.0852962896773001
84,98.6,89.8,7.261712961830199,-0.09593173394720238
85,98.576,89.42,7.490632084198296,-0.09201012764658247
86,98.84,90.81,7.350699147209525,-0.13955719278139225
87,98.95,89.84,7.305159637704492,-0.0752710398546485
88,98.882,90.06,7.299839984625578,-0.08524564216876852
89,98.888,89.83,7.109380223788321,-0.09605414708229629
90,98.95,89.84,7.265609225258231,-0.0823054045773624
91,98.698,90.49,7.38118115440011,-0.1166252558430036
92,98.688,90.03,7.3233596896752715,-0.09247947377817971
93,98.902,90.98,7.355228176340461,-0.13503781665602457
94,98.708,89.2,7.256777172908187,-0.05077568762084489
95,98.588,90.28,7.286677245050669,-0.10670708032681588
96,98.754,89.69,7.139778550714254,-0.06552735480823015
97,98.94,90.09,7.418928595259786,-0.08310340244012575
98,98.844,90.49,7.183223401196301,-0.10057664378402159
99,98.924,89.91,7.19206633605063,-0.0919554244194712
100,98.876,90.36,7.280020791105926,-0.11908867706855138
