round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,52.9136,24.58,63.33543176576495,0.0
2,60.616800000000005,41.29,62.175987822934985,-0.6836484670639038
3,65.7488,50.98,61.99183939676732,-0.5536707639694214
4,69.65440000000001,57.82,61.735202498734,-0.5258592367172241
5,72.788,63.4,61.54333323519677,-0.5232020914554596
6,75.0752,65.62,61.6749234944582,-0.4867940187454224
7,77.16,67.6,63.886752558872104,-0.451407124598821
8,79.1608,69.53,64.2802598271519,-0.42840237276894705
9,79.85520000000001,71.5,61.4381056483835,-0.4324432462453842
10,81.3836,73.16,61.37813734449446,-0.4151691330803765
11,82.1696,74.85,61.87705831974745,-0.43211320638656614
12,83.87599999999999,76.41,61.75930353999138,-0.45196628841486847
13,84.75200000000001,76.31,61.373876947909594,-0.41670048733552295
14,85.7664,78.39,61.46299510449171,-0.41033752147968
15,85.6764,78.64,62.01215218566358,-0.3881498745509556
16,86.4896,79.2,61.888499329797924,-0.4020447492599487
17,87.3092,80.78,61.828960123471916,-0.37716249376535416
18,87.6444,80.4,61.64927149005234,-0.36442378338645487
19,88.3,80.89,63.475521083921194,-0.3581622739632924
20,89.16760000000001,80.13,61.87317286897451,-0.2959640214317723
21,89.4944,81.84,61.518250360153615,-0.34039521515369414
22,90.1328,82.84,61.32624343317002,-0.34712461062840055
23,89.9404,82.08,61.74431922938675,-0.2978500046513297
24,90.3628,83.02,61.96270687505603,-0.33287597868753516
25,90.4772,83.22,61.46614152286202,-0.31805428490042686
26,91.26520000000001,83.38,62.03708653151989,-0.32667091488838196
27,91.4072,83.5,61.45956435613334,-0.29491228323716384
28,91.63719999999999,84.21,61.45280419103801,-0.319918190991437
29,92.0816,84.39,62.1467300504446,-0.30374504306486677
30,92.7704,84.27,63.20244074612856,-0.2698944416539422
31,92.4424,84.04,61.50083610787988,-0.2762429346640905
32,93.2632,84.57,61.72005538176745,-0.28942217846070567
33,93.09960000000001,84.74,61.553100453689694,-0.2794793425127864
34,92.58279999999999,84.24,61.76109825074673,-0.25367910572976776
35,93.8668,85.25,60.92807862814516,-0.27667318109203787
36,94.0592,85.41,61.932120653800666,-0.2571135870047978
37,93.7292,85.97,61.53379572927952,-0.27153322100639343
38,94.5676,85.55,61.26205387804657,-0.23293509435009313
39,94.2252,85.62,61.69242612924427,-0.23807602179677864
40,93.78880000000001,85.75,61.89636205043644,-0.24551718739362863
41,94.3372,85.42,61.77039203699678,-0.236809404194355
42,93.73280000000001,85.02,61.742273041047156,-0.21319639682769775
43,95.1296,86.25,61.51320265606046,-0.24603261763141268
44,95.02199999999999,86.78,61.60050009191036,-0.25594677793425186
45,95.204,87.1,61.76127714943141,-0.25361342795870523
46,95.0256,86.52,62.81656114012003,-0.23090543184015486
47,94.626,86.74,64.26180073432624,-0.2461647728215093
48,94.5804,86.26,61.77745636180043,-0.2379801019709161
49,95.38879999999999,86.69,61.610638494603336,-0.23809244173268476
50,95.402,86.73,61.74189311545342,-0.21867088639006324
51,95.4448,86.88,61.667360777035356,-0.22158295154571533
52,95.7944,86.98,61.73353256843984,-0.2219601460531646
53,95.6048,86.98,61.91814782656729,-0.2149123618235955
54,96.1792,86.95,61.82994938082993,-0.19400170670365388
55,95.6912,86.95,61.74261172302067,-0.19440856962292283
56,96.06400000000001,86.98,62.06443850323558,-0.18324803980914028
57,96.722,87.91,61.412659745663404,-0.21336513997188636
58,95.2368,86.63,62.74908674880862,-0.18551095222171984
59,96.6408,87.31,61.84381698258221,-0.1742213902802303
60,97.208,87.95,60.36418015602976,-0.2039590364290496
61,95.4456,86.91,61.80285091791302,-0.1799976331492265
62,96.6464,87.38,61.59015789441764,-0.17797577503274697
63,96.7868,87.84,61.65135909989476,-0.19682021342938946
64,96.25399999999999,87.58,61.49832745362073,-0.18807843327522278
65,96.9568,88.01,61.27934807818383,-0.19963231636211276
66,96.1336,87.03,62.314321958459914,-0.17091288956312034
67,96.1916,87.46,61.686390300281346,-0.1859239854595878
68,97.06280000000001,87.05,61.59582785423845,-0.15945884029367077
69,96.774,88.21,61.76303491089493,-0.18170641932417364
70,96.3352,86.58,66.29069117829204,-0.13935373421164526
71,97.0824,88.18,61.70007258094847,-0.18286809836115156
72,96.8492,87.96,61.84274669922888,-0.17569034095381347
73,97.6708,88.54,61.492721698246896,-0.18747864539424577
74,97.0032,88.15,61.485786779783666,-0.16749600617036428
75,97.4028,87.97,61.64406969677657,-0.16538217945678815
76,96.94319999999999,88.11,61.76076747570187,-0.1702850975592931
77,96.87400000000001,88.5,61.833557412959635,-0.18345181330254204
78,97.074,86.76,61.765355851501226,-0.10389457062467353
79,97.5824,87.73,61.563591433689,-0.1463092951438366
80,96.77,87.81,61.9448653627187,-0.16249394360222394
81,96.6468,87.86,62.006304705515504,-0.16823631133884193
82,97.86160000000001,89.11,63.43495585490018,-0.18468549442879947
83,97.7884,88.67,61.79921937454492,-0.16566175658528398
84,97.36439999999999,88.57,61.16110880672932,-0.16788789270872093
85,96.9504,87.43,61.59602535050362,-0.1340675029371466
86,97.4204,87.91,61.555695071816444,-0.14310572445392608
87,97.7212,88.98,61.487861891277134,-0.17372317612171173
88,97.98559999999999,89.14,61.796974347904325,-0.1594640658847217
89,96.7328,87.78,61.8404987109825,-0.14797786792570894
