round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,alpha,warmup_rounds,rebuild_every,top_r
1,10.018,10.08,54.31132435798645,0.0,True,0.5,5,0,8
2,22.29,23.18,51.493793964385986,-0.9807416564941406,True,0.5,5,0,8
3,37.744,39.160000000000004,51.42221641540527,-0.41627409973144547,True,0.5,5,0,8
4,48.702,50.24999999999999,52.07280397415161,-0.2679713958740234,True,0.5,5,0,8
5,51.812000000000005,53.04,52.37448239326477,-0.0621429061889649,True,0.5,5,0,8
6,53.83,54.59,52.02367043495178,-0.03968367919921874,True,0.5,5,0,8
7,55.204,56.19,52.14171028137207,-0.03245352172851561,True,0.5,5,0,8
8,56.066,56.8,52.727001905441284,-0.018731954956054685,True,0.5,5,0,8
9,57.62199999999999,58.15,51.890955209732056,-0.03197290039062502,True,0.5,5,0,8
10,58.39,59.709999999999994,52.481401205062866,-0.04443899230957031,True,0.5,5,0,8
11,60.294000000000004,60.75000000000001,52.91455698013306,-0.01637888641357419,True,0.5,5,0,8
12,61.72800000000001,61.99,53.28835415840149,-0.03636049346923827,True,0.5,5,0,8
13,63.774,64.29,54.29627513885498,-0.06304538879394535,True,0.5,5,0,8
14,64.5,65.63,52.12376308441162,-0.020516087341308588,True,0.5,5,0,8
15,65.692,65.57,53.026936531066895,-0.013237550354003914,True,0.5,5,0,8
16,64.996,65.32,52.54825305938721,0.007728939819335956,True,0.5,5,0,8
17,68.394,68.10000000000001,52.39330458641052,-0.06480805053710934,True,0.5,5,0,8
18,69.796,69.78999999999999,52.375880002975464,-0.04422853546142582,True,0.5,5,0,8
19,69.89999999999999,69.61,52.073755741119385,0.001516566467285174,True,0.5,5,0,8
20,71.242,70.69,52.55656862258911,-0.012770788574218738,True,0.5,5,0,8
21,72.154,71.35000000000001,52.197341442108154,-0.0275602081298828,True,0.5,5,0,8
22,72.628,72.0,52.87007212638855,-0.011956666564941409,True,0.5,5,0,8
23,73.402,72.02,52.100579023361206,-0.006167929077148448,True,0.5,5,0,8
24,73.848,72.5,54.25840163230896,-0.0055097961425781385,True,0.5,5,0,8
25,74.18,72.57000000000001,54.363356828689575,-0.0036722824096679487,True,0.5,5,0,8
26,74.016,72.43,52.242897033691406,0.008318383789062512,True,0.5,5,0,8
27,75.52799999999999,73.78,53.06154108047485,-0.029536431884765624,True,0.5,5,0,8
28,75.36,73.82,52.11919355392456,0.0030559051513672,True,0.5,5,0,8
29,76.34,73.89,52.37820315361023,0.0002424316406249849,True,0.5,5,0,8
30,77.16199999999999,74.96000000000001,52.33543276786804,-0.025750909423828138,True,0.5,5,0,8
31,77.574,74.61,52.65440368652344,0.004340274047851578,True,0.5,5,0,8
32,77.536,74.98,51.992353200912476,1.0940551758098494e-06,True,0.5,5,0,8
33,78.2,75.27000000000001,52.54585671424866,-0.012340522766113304,True,0.5,5,0,8
34,77.7,75.03,52.381913900375366,0.02300640106201175,True,0.5,5,0,8
35,79.462,75.78,52.687379598617554,-0.007733194732666005,True,0.5,5,0,8
36,79.444,75.97,52.04484152793884,0.005068051910400407,True,0.5,5,0,8
37,79.926,75.99000000000001,54.20239615440369,-0.0008013771057129082,True,0.5,5,0,8
38,80.23,76.09,52.60506749153137,0.005371533966064446,True,0.5,5,0,8
39,80.214,76.0,52.385538816452026,0.005946947479248022,True,0.5,5,0,8
40,80.974,76.28,52.47588801383972,0.0004157470703124888,True,0.5,5,0,8
41,80.886,76.09,52.652508020401,0.011569094848632822,True,0.5,5,0,8
42,81.234,76.3,51.96375012397766,0.01420684967041017,True,0.5,5,0,8
43,81.356,75.69,52.35494065284729,0.01334822692871096,True,0.5,5,0,8
44,81.77,76.42999999999999,53.47893786430359,0.007470952606201187,True,0.5,5,0,8
45,82.044,76.62,52.36007380485535,0.002697008514404309,True,0.5,5,0,8
46,82.648,77.12,52.26040863990784,-0.008041780090331985,True,0.5,5,0,8
47,82.816,76.91,51.935746908187866,0.008448661804199231,True,0.5,5,0,8
48,83.002,76.99000000000001,52.34278059005737,0.006574476623535164,True,0.5,5,0,8
