round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,67.17060562103512,38.00612893104553,70.81010340899229,0.0,True,8,4096,0.5,10,0.01,0.01,1234
2,76.23211582446115,52.58923749923706,69.70076360739768,0.06767523288726807,True,8,4096,0.5,10,0.01,0.01,1234
3,79.3394527693915,55.08418655395508,68.33204426895827,-0.6597052812576294,True,8,4096,0.5,10,0.01,0.01,1234
4,81.66028886216203,59.04667282104492,68.75474167428911,-0.15431400140126547,True,8,4096,0.5,10,0.01,0.01,1234
5,82.77660746432838,60.00774517059326,69.4637194480747,-0.229981929063797,True,8,4096,0.5,10,0.01,0.01,1234
6,84.32239714917013,62.20063314437866,68.65299844648689,-0.5297707080841064,True,8,4096,0.5,10,0.01,0.01,1234
7,86.44155489899644,65.16803617477417,69.1256074309349,0.01171360413233439,True,8,4096,0.5,10,0.01,0.01,1234
8,87.05665775417114,64.9959587097168,70.41445653978735,-0.5521845476967948,True,8,4096,0.5,10,0.01,0.01,1234
9,88.53421081623823,67.72999725341796,68.85458244848996,-0.2571492940187454,True,8,4096,0.5,10,0.01,0.01,1234
10,89.16241190744852,66.77633352279663,69.12427300214767,-0.4078076150682237,True,8,4096,0.5,10,0.01,0.01,1234
11,90.23309943636694,68.98403835296631,70.11731240339577,-0.17954678535461427,True,8,4096,0.5,10,0.01,0.01,1234
12,90.89698376933998,70.09496231079102,69.13113756198436,-0.32304524833505804,True,8,4096,0.5,10,0.01,0.01,1234
13,91.22163582379747,69.95959062576294,69.19886954128742,-0.4220828264951706,True,8,4096,0.5,10,0.01,0.01,1234
14,92.22594736007716,70.57785558700562,69.90539404470474,-0.11433591750951913,True,8,4096,0.5,10,0.01,0.01,1234
15,91.95094241502457,70.31755113601685,74.49341832194477,-0.40723682727132526,True,8,4096,0.5,10,0.01,0.01,1234
16,92.58063645465579,71.75208749771119,73.98086071293801,-0.23837090333302816,True,8,4096,0.5,10,0.01,0.01,1234
17,92.09309776152625,70.40308456420898,70.00883494038135,-0.41809938848018646,True,8,4096,0.5,10,0.01,0.01,1234
18,93.43075542198667,72.65456657409668,69.01329348701984,-0.3681725333718693,True,8,4096,0.5,10,0.01,0.01,1234
19,93.32314168122161,72.21949081420898,69.6185417259112,-0.2264394760131836,True,8,4096,0.5,10,0.01,0.01,1234
20,93.89437646450679,72.80946950912475,69.91380034387112,-0.074152924512562,True,8,4096,0.5,10,0.01,0.01,1234
21,94.43678091252096,73.56546325683594,68.87810464669019,-0.3893647313117981,True,8,4096,0.5,10,0.01,0.01,1234
22,94.56405974073402,74.21504564285279,68.94297847338021,-0.3795873097011021,True,8,4096,0.5,10,0.01,0.01,1234
23,94.90709221427443,73.85203380584717,69.70666709635407,-0.02202578295360912,True,8,4096,0.5,10,0.01,0.01,1234
24,95.12985107166973,73.85977926254273,68.77484581246972,-0.2510078238404315,True,8,4096,0.5,10,0.01,0.01,1234
25,95.84235121145096,74.8764142036438,69.0181861165911,-0.2756061653296153,True,8,4096,0.5,10,0.01,0.01,1234
26,95.71532412881625,74.04903049468994,69.9400834608823,-0.19764527797698975,True,8,4096,0.5,10,0.01,0.01,1234
27,95.90481619839055,74.70669441223144,69.29827773850411,-0.07853400707244873,True,8,4096,0.5,10,0.01,0.01,1234
28,95.88599786770251,74.21706619262696,69.30521456431597,-0.2576950722270542,True,8,4096,0.5,10,0.01,0.01,1234
29,95.80837678710012,74.04498901367188,69.72459021676332,-0.2637580356427601,True,8,4096,0.5,10,0.01,0.01,1234
30,96.39688583683986,75.40375776290894,69.02188737690449,-0.14269265224193706,True,8,4096,0.5,10,0.01,0.01,1234
31,95.6763514578077,75.26501903533935,69.23437986616045,-0.32343893448511757,True,8,4096,0.5,10,0.01,0.01,1234
