round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,8.63,12.96,8.565917859785259,0.0
2,17.624,19.54,7.36516001727432,-0.3970162868499756
3,24.566,25.92,7.283853854984045,-0.5028339624404907
4,30.622,32.03,7.15930244140327,-0.5096304416656494
5,35.274,35.79,7.174210973083973,-0.6285417675971985
6,39.548,39.64,7.270817287266254,-0.7180820941925049
7,42.862,41.56,7.164782463572919,-0.7061361074447632
8,46.366,44.19,7.115423288196325,-0.6628667967660087
9,49.22,43.65,7.333216646686196,-0.4935785382986069
10,51.926,43.69,7.474600130692124,-0.47003571192423504
11,54.382,47.91,7.34431898035109,-0.5641178131103516
12,56.864,48.43,7.382627586834133,-0.5392185883088545
13,58.834,52.5,7.3453792333602905,-0.667284240325292
14,61.112,54.09,7.374287164770067,-0.7259704883282001
15,62.494,53.92,7.339551403187215,-0.660846369607108
16,64.514,53.89,7.296715419739485,-0.613180677096049
17,65.616,55.62,7.343961091712117,-0.6198104172945023
18,67.228,56.66,7.26282465364784,-0.6071804060655481
19,69.162,56.22,7.1700006341561675,-0.519165747695499
20,70.316,55.7,7.266893396154046,-0.44815614976381
21,71.35,59.48,7.261020224541426,-0.6109484195709228
22,72.908,59.41,7.196751680225134,-0.589273872829619
23,74.048,59.17,7.184257769957185,-0.5759774879975752
24,75.378,58.65,7.324570787139237,-0.47217842288639233
25,76.098,59.92,7.352115058340132,-0.5097016940514246
26,77.754,61.16,7.499617520719767,-0.5055098152160644
27,79.002,59.99,7.429525443352759,-0.4210343085802518
28,79.428,61.22,7.249593447893858,-0.44181306273848925
29,81.05,61.18,7.142387360334396,-0.4342470977987562
30,81.682,61.1,7.07979500759393,-0.4244234849666727
31,82.842,60.22,7.25918495375663,-0.30739559332529703
32,83.976,60.57,7.275566988624632,-0.3042558431625366
33,84.232,61.52,7.363080196082592,-0.3474056664854288
34,85.364,63.74,7.422782257199287,-0.4434382716814677
35,86.19,62.68,7.191309509798884,-0.336053811451968
36,86.766,61.21,7.354411055333912,-0.25642055443355016
37,87.572,63.54,7.336703668348491,-0.3933972203069263
38,88.674,63.08,7.146299744024873,-0.36554898281355164
39,89.31,62.32,7.215863362886012,-0.24193771418772245
40,89.938,63.49,7.191022565588355,-0.2957853476206462
41,90.856,61.99,7.335691428743303,-0.1645699843764305
42,91.346,62.66,7.396782752126455,-0.21966805254540792
43,92.128,64.18,7.252027662470937,-0.2685867179007757
44,92.596,64.2,7.318509801290929,-0.2856540000715921
45,93.16,63.76,7.178267610259354,-0.20510511100292206
46,93.31,63.95,7.196916394867003,-0.2168378856447008
47,93.79,61.61,7.164976254105568,-0.05312101348586704
48,94.508,63.83,7.4075935538858175,-0.14138480577063053
49,94.952,64.61,7.111779559403658,-0.1839174541334311
50,95.346,63.82,7.048654709942639,-0.1751579399011573
51,95.43,65.03,7.305395856499672,-0.1764725363254547
52,95.366,64.72,7.17909951787442,-0.16890890341179043
53,95.882,64.2,7.254532705061138,-0.11721440347341391
54,96.014,63.24,7.33733403775841,-0.06617983894528083
55,96.774,65.4,7.120136544108391,-0.21213384358971207
56,96.608,65.59,7.485438259318471,-0.19713963920419866
57,96.894,67.04,7.0471900794655085,-0.2689859686153276
58,97.272,65.84,7.156060743145645,-0.18646708392260367
59,97.252,65.77,7.316725069656968,-0.15844091361966625
60,97.586,66.04,7.427014603279531,-0.16257523278058586
61,97.388,65.77,7.247893656603992,-0.13636373778184255
62,97.896,65.97,7.147643501870334,-0.1803678762717325
63,97.988,65.61,7.133577384054661,-0.1238838174650746
64,97.846,65.96,7.251357081346214,-0.10210868763545203
65,97.858,65.6,7.268918569199741,-0.15620064083486795
66,97.864,67.08,7.190139344893396,-0.18717214786089384
67,98.128,66.64,7.342233872041106,-0.1459490449139566
68,98.224,66.91,7.161245285533369,-0.16861606800734108
69,98.356,67.01,7.263634421862662,-0.1774768697864869
70,98.574,66.79,7.519131244160235,-0.18956498218619305
71,98.342,65.42,7.328977666795254,-0.09996617095811026
72,98.372,66.08,7.094177924096584,-0.15276902746146834
73,98.344,66.97,7.225393919274211,-0.17861687557564843
74,98.412,67.05,7.260202966630459,-0.15011092653013255
75,98.522,66.42,7.237776452675462,-0.1543331476482185
76,98.52,66.55,7.331218423321843,-0.15265509843826294
77,98.914,66.6,7.22406988684088,-0.16429060697555542
78,98.842,67.26,7.102644789963961,-0.1630582135993165
79,98.838,66.86,7.385752614587545,-0.13376197066062537
80,98.942,67.07,7.268008387647569,-0.15749346681787998
81,98.086,65.83,7.266806454397738,-0.07617692723870277
82,97.83,64.77,7.295353475958109,-0.06281731526056926
83,98.266,65.7,7.330915768630803,-0.09789874059398
84,98.388,65.96,7.3154353545978665,-0.08831361762012344
85,98.512,65.81,7.116659146733582,-0.08446266395705086
86,98.248,66.18,7.156331247650087,-0.1153142908040215
87,98.214,66.34,7.307885693386197,-0.15887050573215927
88,98.754,67.45,7.099837682209909,-0.18940558652768189
89,99.13,66.66,7.434130826033652,-0.13708457418463446
90,99.042,67.16,7.302989516407251,-0.13883661755015342
91,99.096,67.95,7.363489869982004,-0.18392334116829767
92,99.2,67.5,7.08543089684099,-0.16051056948336925
93,99.222,67.8,7.2259980998933315,-0.17627623612466065
94,98.848,66.82,7.209175996482372,-0.10923300571339105
95,98.782,66.78,7.340027780272067,-0.16423387223101676
96,98.208,64.72,7.174177072010934,-0.02728598807987414
97,97.862,63.62,7.069020319730043,0.03794426160554091
98,97.93,65.26,7.447310019284487,-0.043840025503610824
99,97.384,64.38,7.442590519785881,0.00410220270254174
