round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,17.282,3.85,49.245490099303424,0.0
2,23.5388,11.29,47.725122657604516,-0.6470522880554199
3,28.218,16.55,47.859903279691935,-0.618424654006958
4,32.486399999999996,20.43,48.07626328803599,-0.6486084461212158
5,36.7268,24.87,47.78126179240644,-0.7348473072052002
6,40.2908,27.55,47.49789142701775,-0.7579579830169678
7,43.4976,30.9,48.2972102323547,-0.7912784020105997
8,46.1316,32.47,48.850354140624404,-0.7801016739436558
9,48.6628,35.61,48.04361790791154,-0.8146920204162598
10,51.186,37.27,47.88424552325159,-0.78730222913954
11,53.3644,38.95,47.72054445836693,-0.8165987253189086
12,55.282399999999996,40.96,47.74052652809769,-0.8200539242137562
13,57.5752,42.75,47.74055085051805,-0.835738738377889
14,59.3808,44.08,47.5914467331022,-0.8241240061246432
15,61.17320000000001,45.37,47.935789274051785,-0.8104076981544495
16,62.89,46.74,48.0571381226182,-0.8108011960983277
17,64.42360000000001,47.6,47.66089754085988,-0.7956558391451836
18,65.774,47.96,47.99328968022019,-0.767240608439726
19,67.2684,49.53,49.74325496144593,-0.7848537166913351
20,68.7336,49.54,47.7868090942502,-0.7434971897225631
21,69.9704,51.13,47.94494869094342,-0.7591703116893769
22,71.43119999999999,51.41,47.858108836226165,-0.7197444949831281
23,72.5452,52.29,47.67608553357422,-0.7242668054320596
24,73.822,52.69,47.9171272162348,-0.697879205579343
25,74.9032,53.17,47.75733890384436,-0.6956038524707159
26,75.9624,53.97,47.87114185933024,-0.6904285335540772
27,76.9996,54.53,47.97999213356525,-0.680667533324315
28,77.9948,54.53,48.12224800698459,-0.6627804570727878
29,78.9448,54.94,47.71506591048092,-0.6345569789409637
30,79.76520000000001,55.41,47.96123598795384,-0.6280081395445198
31,80.3644,55.94,49.57445785962045,-0.6279041568438212
32,81.5856,56.33,47.776671086438,-0.6056314053074006
33,82.1948,56.46,47.81399312708527,-0.598261471837759
34,83.4828,56.82,47.791478699073195,-0.5729060173034668
35,83.80199999999999,57.21,47.71431404910982,-0.558176247512593
36,84.73479999999999,57.73,47.875652667135,-0.5651288747787475
