round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,alpha,warmup_rounds,rebuild_every,top_r
1,1.006,0.8500000000000001,53.36292552947998,0.0,True,0.5,5,0,8
2,5.335999999999999,6.1,51.78221416473389,-0.7102467529296872,True,0.5,5,0,8
3,14.92,15.24,51.53765058517456,-0.6826842285156252,True,0.5,5,0,8
4,20.642,21.08,52.72494578361511,-0.31556533813476567,True,0.5,5,0,8
5,24.202,24.41,52.27750253677368,-0.16514846801757824,True,0.5,5,0,8
6,24.32,24.83,52.832282304763794,-0.018729315185546814,True,0.5,5,0,8
7,25.404,25.85,51.720606327056885,-0.055532141113281155,True,0.5,5,0,8
8,25.622,25.88,53.40290451049805,0.012342315673827908,True,0.5,5,0,8
9,26.684,26.72,52.60580563545227,-0.046990844726562474,True,0.5,5,0,8
10,28.951999999999998,28.74,52.800883054733276,-0.08306770019531262,True,0.5,5,0,8
11,29.102,28.16,52.52488875389099,-0.004540234374999929,True,0.5,5,0,8
12,30.653999999999996,29.599999999999998,52.49004769325256,-0.053954956054687565,True,0.5,5,0,8
13,33.594,31.7,54.023529291152954,-0.11014261474609369,True,0.5,5,0,8
14,36.054,33.269999999999996,52.5007803440094,-0.0602136169433594,True,0.5,5,0,8
15,38.248,34.53,53.301326513290405,-0.06715719909667976,True,0.5,5,0,8
16,39.606,35.099999999999994,52.18312859535217,-0.030932382202148466,True,0.5,5,0,8
17,40.502,35.91,52.45907139778137,-0.020309701538085888,True,0.5,5,0,8
18,40.47,35.96,52.623039960861206,0.022928552246093758,True,0.5,5,0,8
19,42.788,36.93,52.95057940483093,-0.025250100708007837,True,0.5,5,0,8
20,44.04,37.61,52.77894854545593,-0.011370925903320294,True,0.5,5,0,8
21,46.536,38.690000000000005,52.57539129257202,-0.05396302185058595,True,0.5,5,0,8
22,47.854,38.86,52.6478374004364,-0.003132571411132723,True,0.5,5,0,8
23,47.708,39.15,52.93954110145569,0.016439123535156242,True,0.5,5,0,8
24,51.837999999999994,40.589999999999996,54.29188585281372,-0.05487476196289061,True,0.5,5,0,8
25,51.693999999999996,40.18,52.90137314796448,0.0321509613037108,True,0.5,5,0,8
26,52.812000000000005,40.510000000000005,52.285396575927734,0.008741693115234294,True,0.5,5,0,8
27,54.586,41.21,52.55006265640259,-0.0056745635986328756,True,0.5,5,0,8
28,55.686,41.160000000000004,52.39606285095215,0.007685290527343724,True,0.5,5,0,8
29,56.542,42.03,53.07135200500488,0.005406295776367198,True,0.5,5,0,8
30,56.976000000000006,41.49,52.21684718132019,0.03851728515625004,True,0.5,5,0,8
31,59.202,41.81,53.55016541481018,0.031186080932617165,True,0.5,5,0,8
32,57.326,40.9,52.55010533332825,0.061105920410156236,True,0.5,5,0,8
33,61.656,42.39,52.74695944786072,0.009015118408203016,True,0.5,5,0,8
34,62.22800000000001,42.559999999999995,50.28053259849548,0.01761758422851578,True,0.5,5,0,8
35,62.70400000000001,42.26,52.349806785583496,0.03077194519042976,True,0.5,5,0,8
36,63.751999999999995,42.76,53.60442090034485,0.03481376342773448,True,0.5,5,0,8
37,63.058,42.480000000000004,52.9592125415802,0.06148721008300786,True,0.5,5,0,8
38,64.832,42.95,52.28002905845642,0.04766412963867195,True,0.5,5,0,8
39,66.07,42.85,52.832582235336304,0.05517543945312511,True,0.5,5,0,8
40,68.192,43.37,52.0002703666687,0.041705032348632896,True,0.5,5,0,8
41,68.282,43.3,52.515268087387085,0.058657162475585965,True,0.5,5,0,8
42,68.818,43.35,52.49883198738098,0.05952480163574218,True,0.5,5,0,8
43,68.906,43.33,52.848161935806274,0.0664410736083985,True,0.5,5,0,8
44,70.98400000000001,43.63,52.554720878601074,0.04988311157226564,True,0.5,5,0,8
45,69.08,42.74,52.049752950668335,0.08573570861816426,True,0.5,5,0,8
46,71.39,43.43,52.75155210494995,0.06611704711914071,True,0.5,5,0,8
47,71.93,43.45,53.040369749069214,0.06192543945312501,True,0.5,5,0,8
48,74.166,43.62,54.37701368331909,0.06872307128906252,True,0.5,5,0,8
49,73.336,43.82,52.66851305961609,0.08641742553710943,True,0.5,5,0,8
50,74.53,43.91,52.82367563247681,0.06993168640136727,True,0.5,5,0,8
51,75.44999999999999,43.36,52.1812424659729,0.092542645263672,True,0.5,5,0,8
52,75.018,43.45,52.42948627471924,0.09205215148925783,True,0.5,5,0,8
53,76.706,43.84,52.03599309921265,0.09746540222167983,True,0.5,5,0,8
54,76.888,44.21,51.87878060340881,0.09674571533203125,True,0.5,5,0,8
55,77.548,44.31,51.92730188369751,0.0842841369628907,True,0.5,5,0,8
56,78.592,43.79,52.19943642616272,0.09884785766601567,True,0.5,5,0,8
57,73.762,42.41,51.732157468795776,0.1695362457275392,True,0.5,5,0,8
58,77.92,44.230000000000004,51.48347210884094,0.09580018920898441,True,0.5,5,0,8
59,78.95,44.13,52.624995946884155,0.09099834289550798,True,0.5,5,0,8
60,79.452,44.32,53.30486083030701,0.10172474060058603,True,0.5,5,0,8
