round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,52.9136,24.58,48.88809935376048,0.0
2,60.616800000000005,41.29,44.3793652895838,-0.8616725206375122
3,65.7488,50.98,45.23899602331221,-0.5720210671424866
4,69.65440000000001,57.82,44.861284194514155,-0.5775756438573202
5,72.788,63.4,45.04486006684601,-0.5349717289209366
6,75.0752,65.62,44.752225713804364,-0.5057010650634766
7,77.16,67.6,45.08920839801431,-0.44831588864326477
8,79.1608,69.53,45.3022750467062,-0.42510443925857544
9,79.85520000000001,71.5,45.26010246574879,-0.43897784501314163
10,81.3836,73.16,45.91656788624823,-0.4201572471194797
11,82.1696,74.85,45.69717685133219,-0.4319929122924805
12,83.87599999999999,76.41,45.62505717948079,-0.44432817805897107
13,84.75200000000001,76.31,45.34786163456738,-0.4185328980286916
14,85.7664,78.39,45.06370939873159,-0.4067925535715543
15,85.6764,78.64,45.29654569551349,-0.39198494596140726
16,86.4896,79.2,45.13373832963407,-0.39727908968925474
17,87.3092,80.78,44.9559458065778,-0.3679635636508465
18,87.6444,80.4,45.08720441907644,-0.3511175548329073
19,88.3,80.89,45.34205989353359,-0.34485529032018447
20,89.16760000000001,80.13,45.33533040061593,-0.28825691969771133
21,89.4944,81.84,45.02648984827101,-0.33044268786907194
22,90.1328,82.84,46.257160006091,-0.34053584933280945
23,89.9404,82.08,45.00094723701477,-0.2768237726254897
24,90.3628,83.02,45.616869227960706,-0.3280432509339374
25,90.4772,83.22,45.15249443054199,-0.3054063158730666
26,91.26520000000001,83.38,45.28276172094047,-0.3121199905872345
27,91.4072,83.5,44.85249616391957,-0.2875721202446864
28,91.63719999999999,84.21,45.27060181833804,-0.31191350905983534
29,92.0816,84.39,45.01750475727022,-0.2979554980993271
30,92.7704,84.27,45.121520064771175,-0.2708320854039028
31,92.4424,84.04,45.00854862295091,-0.26620509127775827
32,93.2632,84.57,45.03028077632189,-0.2762608124363807
33,93.09960000000001,84.74,45.462632812559605,-0.2750385142862797
34,92.58279999999999,84.24,46.638693403452635,-0.244007408618927
35,93.8668,85.25,45.22285111248493,-0.2665163076975766
36,94.0592,85.41,45.29468383081257,-0.2497962304524013
37,93.7292,85.97,45.33480573259294,-0.26814500490824383
38,94.5676,85.55,45.15980487689376,-0.22742452492585052
39,94.2252,85.62,45.25301089696586,-0.2342419357676255
40,93.78880000000001,85.75,45.00049938261509,-0.2435331111535048
41,94.3372,85.42,45.14323168247938,-0.23457966074347497
42,93.73280000000001,85.02,45.032451044768095,-0.20047598132273045
43,95.1296,86.25,45.526143403723836,-0.24419602113110678
44,95.02199999999999,86.78,45.10420498624444,-0.252909054589826
45,95.204,87.1,46.166395081207156,-0.2578428001566367
46,95.0256,86.52,45.419544799253345,-0.23105805648697747
47,94.626,86.74,45.144134014844894,-0.23856360627257306
48,94.5804,86.26,45.49433948472142,-0.24281761589202475
49,95.38879999999999,86.69,45.510208748281,-0.23415976110845804
50,95.402,86.73,44.95326658897102,-0.21624152727273047
51,95.4448,86.88,44.89305705949664,-0.21433935016393663
