round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,alpha,warmup_rounds,rebuild_every,top_r
1,10.018,10.08,52.58353924751282,0.0,True,0.5,10,0,8
2,22.29,23.18,48.05639600753784,-0.9807416564941406,True,0.5,10,0,8
3,37.744,39.160000000000004,48.48083758354187,-0.41627409973144547,True,0.5,10,0,8
4,48.702,50.24999999999999,48.77267646789551,-0.2679713958740234,True,0.5,10,0,8
5,51.812000000000005,53.04,49.88524603843689,-0.0621429061889649,True,0.5,10,0,8
6,55.98800000000001,56.699999999999996,49.87185788154602,-0.09545287780761713,True,0.5,10,0,8
7,59.336,59.72,50.04126834869385,-0.08133356781005859,True,0.5,10,0,8
8,60.852,60.88,50.09595561027527,-0.03612751159667971,True,0.5,10,0,8
9,61.414,61.75000000000001,50.16066360473633,-0.00891189727783206,True,0.5,10,0,8
10,64.316,65.38000000000001,50.72655725479126,-0.08814989318847655,True,0.5,10,0,8
11,64.196,64.25,49.552406311035156,0.023710511779785136,True,0.5,10,0,8
12,64.01599999999999,64.09,50.0745792388916,0.02510343780517583,True,0.5,10,0,8
13,65.696,66.59,53.061352252960205,-0.0312517868041992,True,0.5,10,0,8
14,65.414,66.08000000000001,49.7274374961853,0.014382397460937456,True,0.5,10,0,8
15,65.678,65.71000000000001,49.71125388145447,0.020477394104003933,True,0.5,10,0,8
16,65.152,65.72,49.98813724517822,0.023631475830078096,True,0.5,10,0,8
17,67.91199999999999,67.81,49.88746762275696,-0.038862812805175805,True,0.5,10,0,8
18,68.048,67.86999999999999,49.79261064529419,0.0046491821289062814,True,0.5,10,0,8
19,68.05799999999999,67.81,50.358304262161255,-0.001135734558105428,True,0.5,10,0,8
20,69.792,68.91000000000001,49.873172760009766,-0.029040267944335917,True,0.5,10,0,8
21,70.27600000000001,69.67,49.754305839538574,-0.010518273925781241,True,0.5,10,0,8
22,70.038,69.59,50.354541540145874,-0.0018904174804687645,True,0.5,10,0,8
23,70.45,69.58,50.146931886672974,0.00998329010009764,True,0.5,10,0,8
24,71.16799999999999,70.28,49.876978397369385,-0.011129235839843755,True,0.5,10,0,8
25,71.172,70.30999999999999,51.180272579193115,-0.000946876525878948,True,0.5,10,0,8
26,71.684,70.76,49.694836378097534,-0.013005358886718766,True,0.5,10,0,8
27,72.69,71.23,49.90113377571106,-0.01063715362548825,True,0.5,10,0,8
28,73.098,71.89999999999999,50.12199521064758,-0.014082366943359381,True,0.5,10,0,8
29,73.65,71.67999999999999,49.537805795669556,-0.0019813720703125036,True,0.5,10,0,8
30,74.55000000000001,72.46000000000001,49.63174748420715,-0.016700997924804683,True,0.5,10,0,8
31,74.636,72.44,49.51060390472412,0.0014333587646484292,True,0.5,10,0,8
32,75.08200000000001,73.09,49.85220718383789,-0.008165827941894532,True,0.5,10,0,8
33,76.346,74.11999999999999,49.42439889907837,-0.02402533111572267,True,0.5,10,0,8
34,75.702,73.53,49.823646545410156,0.014185154724121074,True,0.5,10,0,8
35,76.90599999999999,74.3,50.49561858177185,-0.00881459503173827,True,0.5,10,0,8
36,76.506,73.61,51.57998776435852,0.019970159912109355,True,0.5,10,0,8
37,77.874,74.53999999999999,51.2535035610199,-0.003441151428222655,True,0.5,10,0,8
38,77.522,74.11,49.511224031448364,0.011281108093261705,True,0.5,10,0,8
39,78.11399999999999,74.57000000000001,50.022228717803955,0.006304649353027348,True,0.5,10,0,8
40,78.446,74.71,50.107532262802124,0.005186322021484368,True,0.5,10,0,8
41,78.758,74.53,50.05596137046814,-0.0002796691894531245,True,0.5,10,0,8
42,79.33200000000001,74.85000000000001,49.50749444961548,0.006711054992675769,True,0.5,10,0,8
43,79.65,74.7,50.16846036911011,0.0024817443847656275,True,0.5,10,0,8
44,79.176,74.61,50.144083976745605,0.008802789306640624,True,0.5,10,0,8
45,80.192,75.33999999999999,50.340496301651,-0.012616316986084009,True,0.5,10,0,8
46,79.12599999999999,74.61,49.88140630722046,0.025841846466064466,True,0.5,10,0,8
47,80.66600000000001,75.26,49.83556652069092,-0.0010054496765136366,True,0.5,10,0,8
48,80.316,75.21,51.724220514297485,0.01469936981201172,True,0.5,10,0,8
49,81.148,75.61,50.119065046310425,0.006839988708496092,True,0.5,10,0,8
50,81.292,75.57000000000001,49.550122022628784,0.004245915985107418,True,0.5,10,0,8
51,81.914,75.94,50.17197799682617,-0.0017389396667480295,True,0.5,10,0,8
52,81.864,75.76,49.72645115852356,5.277557373046804e-05,True,0.5,10,0,8
53,81.748,75.66000000000001,50.127415895462036,0.011518463134765589,True,0.5,10,0,8
54,82.6,76.51,50.71258616447449,-0.0038758186340332123,True,0.5,10,0,8
55,82.75,76.3,49.635512828826904,-0.0008533248901367418,True,0.5,10,0,8
56,82.724,76.27000000000001,49.45915484428406,0.014176101684570308,True,0.5,10,0,8
57,83.434,76.48,49.857853174209595,0.007433813476562512,True,0.5,10,0,8
58,83.32000000000001,76.53999999999999,49.90904450416565,0.008931787109374988,True,0.5,10,0,8
59,83.02000000000001,76.0,50.8287615776062,0.016180564880371073,True,0.5,10,0,8
60,83.66799999999999,76.82,50.970399141311646,0.008075002288818366,True,0.5,10,0,8
61,84.23,76.61,49.98609757423401,0.002812955474853518,True,0.5,10,0,8
62,84.684,76.64,49.62502098083496,0.016720539093017583,True,0.5,10,0,8
63,84.60600000000001,76.79,50.492069244384766,0.015775716400146477,True,0.5,10,0,8
64,85.044,76.99000000000001,49.93431496620178,0.017120223236083976,True,0.5,10,0,8
65,85.166,77.01,50.21552872657776,0.016643258666992188,True,0.5,10,0,8
66,84.87599999999999,77.21000000000001,50.27085852622986,0.015737117004394528,True,0.5,10,0,8
67,84.89999999999999,76.69,50.12586855888367,0.009904077911376952,True,0.5,10,0,8
68,85.356,77.08,49.89654302597046,0.010789942169189404,True,0.5,10,0,8
69,85.96000000000001,77.25,49.8838894367218,0.007327594757080069,True,0.5,10,0,8
70,85.706,77.38000000000001,50.25022268295288,0.0066844734191894295,True,0.5,10,0,8
71,86.048,77.25,50.14288139343262,0.018279952239990217,True,0.5,10,0,8
72,85.726,77.0,52.2109010219574,0.020916721343994117,True,0.5,10,0,8
73,86.004,77.11,50.367332458496094,0.008473249816894502,True,0.5,10,0,8
74,86.504,77.55,50.12141418457031,0.004616411590576153,True,0.5,10,0,8
75,85.894,77.03,49.87268781661987,0.028857752227783195,True,0.5,10,0,8
76,86.532,77.27000000000001,49.58021521568298,0.01920657272338864,True,0.5,10,0,8
77,86.91799999999999,76.92,50.5130820274353,0.02273272781372069,True,0.5,10,0,8
78,87.286,77.59,50.111618518829346,0.013398155212402308,True,0.5,10,0,8
79,87.33999999999999,77.47,49.693896532058716,0.014276285552978486,True,0.5,10,0,8
80,87.878,78.06,50.133641481399536,0.011591948699951149,True,0.5,10,0,8
81,87.222,77.28,50.110477685928345,0.03481335067749021,True,0.5,10,0,8
82,87.81400000000001,77.83,49.70113468170166,0.013212207794189435,True,0.5,10,0,8
83,87.82799999999999,77.68,51.97388219833374,0.015385281372070314,True,0.5,10,0,8
84,87.78,77.62,49.8290011882782,0.01712036285400389,True,0.5,10,0,8
85,88.222,78.05,49.65316987037659,-0.0023870567321777393,True,0.5,10,0,8
86,87.7,77.66999999999999,50.208670139312744,0.026515373229980453,True,0.5,10,0,8
87,88.536,77.73,49.76530575752258,0.023348754882812496,True,0.5,10,0,8
88,88.32799999999999,77.32,50.399409532547,0.0361630126953125,True,0.5,10,0,8
89,88.286,77.82,50.15433192253113,0.02312951965332031,True,0.5,10,0,8
90,88.44800000000001,78.05,49.96110510826111,0.02270272521972656,True,0.5,10,0,8
91,89.13600000000001,78.09,50.14390468597412,0.01744139328002927,True,0.5,10,0,8
92,89.056,78.2,50.27303886413574,0.014230858612060549,True,0.5,10,0,8
93,88.75999999999999,77.78,49.89579892158508,0.02681553115844726,True,0.5,10,0,8
94,88.85,77.74,49.620843172073364,0.024008891296386725,True,0.5,10,0,8
95,89.688,78.16,51.91733765602112,0.01509980087280276,True,0.5,10,0,8
96,89.548,77.92999999999999,50.41489553451538,0.029184029388427745,True,0.5,10,0,8
97,89.374,78.22,50.950236082077026,0.025888060760498054,True,0.5,10,0,8
98,89.75999999999999,78.0,49.789727210998535,0.021312030792236314,True,0.5,10,0,8
99,89.706,78.03999999999999,49.659900426864624,0.026131077575683604,True,0.5,10,0,8
100,89.852,78.31,50.591267347335815,0.018578314971923814,True,0.5,10,0,8
101,90.05199999999999,78.07,50.37951874732971,0.03528598022460936,True,0.5,10,0,8
102,89.928,77.52,49.96007037162781,0.03705001220703123,True,0.5,10,0,8
103,90.40599999999999,78.22,49.778716802597046,0.01884187164306641,True,0.5,10,0,8
104,89.64800000000001,77.66999999999999,50.720746755599976,0.02839501419067385,True,0.5,10,0,8
105,90.25,78.29,50.4692656993866,0.016574260711669942,True,0.5,10,0,8
106,90.58,78.24,50.65779161453247,0.018387605285644537,True,0.5,10,0,8
107,90.498,78.19,51.27780771255493,0.02225869140625003,True,0.5,10,0,8
108,90.66,78.11,50.09006309509277,0.033588433074951164,True,0.5,10,0,8
109,90.754,78.22,50.63826107978821,0.03035252380371094,True,0.5,10,0,8
110,90.558,78.0,49.947364807128906,0.025669883728027365,True,0.5,10,0,8
111,91.11200000000001,78.31,49.95049428939819,0.02688886108398436,True,0.5,10,0,8
112,90.328,78.19,50.29290151596069,0.03201653747558595,True,0.5,10,0,8
113,90.928,78.03,50.3869526386261,0.026851821899414062,True,0.5,10,0,8
114,90.676,77.8,49.65224242210388,0.029475610351562497,True,0.5,10,0,8
115,91.578,78.09,49.655744791030884,0.02326096649169922,True,0.5,10,0,8
116,91.048,77.74,50.273287534713745,0.03954380340576171,True,0.5,10,0,8
117,91.578,78.14,50.899880170822144,0.03401559524536133,True,0.5,10,0,8
118,91.402,78.34,51.81305193901062,0.025700839233398408,True,0.5,10,0,8
119,92.136,78.62,50.32472610473633,0.027263232421874985,True,0.5,10,0,8
120,91.42,78.14,50.25803208351135,0.03435953216552734,True,0.5,10,0,8
121,91.288,77.92999999999999,50.67747735977173,0.04024940948486329,True,0.5,10,0,8
122,91.31,78.31,50.23396277427673,0.04079196929931641,True,0.5,10,0,8
123,91.878,78.36999999999999,50.06115007400513,0.04346671752929689,True,0.5,10,0,8
124,91.606,77.99000000000001,49.9691903591156,0.03873775329589842,True,0.5,10,0,8
125,91.536,78.17,50.26666760444641,0.03965475616455079,True,0.5,10,0,8
126,91.654,78.16,50.664918661117554,0.03671310882568359,True,0.5,10,0,8
127,92.02799999999999,78.29,49.99400520324707,0.045798301696777344,True,0.5,10,0,8
128,92.31200000000001,78.02,50.08673095703125,0.04145435943603515,True,0.5,10,0,8
129,92.008,77.9,50.17178440093994,0.03800601196289064,True,0.5,10,0,8
130,92.176,78.22,51.04722619056702,0.030904090881347646,True,0.5,10,0,8
131,91.96600000000001,78.35,50.25462484359741,0.027309046936035152,True,0.5,10,0,8
132,92.526,78.03999999999999,50.170170068740845,0.040442527770996085,True,0.5,10,0,8
133,92.636,78.11,50.192445039749146,0.03393571472167969,True,0.5,10,0,8
134,92.35,78.17,50.17605519294739,0.046327064514160174,True,0.5,10,0,8
135,92.35,77.9,50.54296541213989,0.047003102111816394,True,0.5,10,0,8
136,92.608,78.33,49.916510581970215,0.03779993362426757,True,0.5,10,0,8
137,92.84599999999999,78.14,49.63898158073425,0.04985838165283203,True,0.5,10,0,8
138,92.542,78.21000000000001,50.55684542655945,0.042207087707519554,True,0.5,10,0,8
139,92.812,78.25,50.03366661071777,0.04683125762939455,True,0.5,10,0,8
140,92.644,78.23,50.15709447860718,0.042850495910644534,True,0.5,10,0,8
141,92.448,78.19,51.597665309906006,0.05025180511474607,True,0.5,10,0,8
142,93.304,78.8,50.133281230926514,0.024044784545898444,True,0.5,10,0,8
143,93.036,78.45,50.15834283828735,0.030991538238525386,True,0.5,10,0,8
144,92.656,77.79,50.473384618759155,0.058732056427001945,True,0.5,10,0,8
145,92.854,77.91,50.01633834838867,0.04477823333740234,True,0.5,10,0,8
146,93.068,78.01,50.444621086120605,0.0439262741088867,True,0.5,10,0,8
147,92.874,77.99000000000001,50.568400621414185,0.046954008483886714,True,0.5,10,0,8
148,93.128,78.29,50.10289216041565,0.035731154632568374,True,0.5,10,0,8
149,93.34,78.56,50.66403603553772,0.03065691986083987,True,0.5,10,0,8
