round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,8.63,12.96,8.897277479991317,0.0
2,17.624,19.54,7.484026489779353,-0.3090081214904785
3,24.566,25.92,7.215668337419629,-0.3918416500091553
4,30.622,32.03,7.355033410713077,-0.45471922556559247
5,35.274,35.79,7.235848039388657,-0.6227403283119202
6,39.548,39.64,7.225003998726606,-0.7431350231170655
7,42.862,41.56,7.400310069322586,-0.6921798984209696
8,46.366,44.19,7.415069120004773,-0.6574910708836147
9,49.22,43.65,7.495685184374452,-0.4971323311328888
10,51.926,43.69,7.562057470902801,-0.48059577412075466
11,54.382,47.91,7.190276505425572,-0.558592927455902
12,56.864,48.43,7.408428095281124,-0.5936529636383057
13,58.834,52.5,7.281543655321002,-0.6230972111225128
14,61.112,54.09,7.324468554928899,-0.7506193014291617
15,62.494,53.92,7.507720686495304,-0.6570930140359061
16,64.514,53.89,7.457502633333206,-0.5935154517491659
17,65.616,55.62,7.286668341606855,-0.5849313139915466
18,67.228,56.66,7.417357217520475,-0.6081069848116707
19,69.162,56.22,7.31777461245656,-0.4979831907484267
20,70.316,55.7,7.333186900243163,-0.46324577457026433
21,71.35,59.48,7.375328617170453,-0.6089007437229157
22,72.908,59.41,7.601997099816799,-0.5972505126680646
23,74.048,59.17,7.403703426942229,-0.6127574443817139
24,75.378,58.65,7.460987759754062,-0.50387093813523
25,76.098,59.92,7.522738553583622,-0.4866009056568146
26,77.754,61.16,7.414926892146468,-0.5302406024932861
27,79.002,59.99,7.327405676245689,-0.38107235156572783
28,79.428,61.22,7.289373187348247,-0.3895838878772877
29,81.05,61.18,7.331097714602947,-0.389893787247794
30,81.682,61.1,7.514053637161851,-0.394911161784468
31,82.842,60.22,7.433229314163327,-0.3401822964350382
32,83.976,60.57,7.451480969786644,-0.3014277854273396
33,84.232,61.52,7.307558411732316,-0.3319119866937399
34,85.364,63.74,7.297319822013378,-0.41346296035882196
35,86.19,62.68,7.278384221717715,-0.31838344651110034
36,86.766,61.21,7.302630916237831,-0.21978976896830968
37,87.572,63.54,7.2661211136728525,-0.3433602617846595
38,88.674,63.08,7.413475213572383,-0.3241273390280234
39,89.31,62.32,7.402733927592635,-0.19054656279714485
40,89.938,63.49,7.500928478315473,-0.2616816560427348
41,90.856,61.99,7.417645201086998,-0.14390928894281388
42,91.346,62.66,7.56090858951211,-0.15137117519611265
43,92.128,64.18,7.421585466712713,-0.23139954180944533
44,92.596,64.2,7.253269709646702,-0.26269576438637665
45,93.16,63.76,7.449198259040713,-0.18699140575799075
46,93.31,63.95,7.532026389613748,-0.18391428656048245
47,93.79,61.61,7.34019692055881,-0.042449384927749634
48,94.508,63.83,7.655688889324665,-0.11616866258864707
49,94.952,64.61,7.638458795845509,-0.15292205289006233
50,95.346,63.82,7.366483200341463,-0.14654058339644452
51,95.43,65.03,7.459668550640345,-0.14460344076156617
52,95.366,64.72,7.272120287641883,-0.17355883822721593
53,95.882,64.2,7.387220576405525,-0.10721001143638904
54,96.014,63.24,7.530358215793967,-0.012050800728348066
55,96.774,65.4,7.3981669675558805,-0.1792572107579973
56,96.608,65.59,7.268535761162639,-0.17420020428570834
57,96.894,67.04,7.279865562915802,-0.2577905995505197
58,97.272,65.84,7.508091827854514,-0.14559205268558703
59,97.252,65.77,7.285912284627557,-0.1461391973084417
60,97.586,66.04,7.301330596208572,-0.14911506135584945
61,97.388,65.77,7.252211274579167,-0.12894506752490997
62,97.896,65.97,7.241493599489331,-0.13685333337940153
63,97.988,65.61,7.2721102014184,-0.09004425906365918
64,97.846,65.96,7.432962691411376,-0.10818497056052798
65,97.858,65.6,7.671016318723559,-0.11194683983922005
66,97.864,67.08,7.443549050018191,-0.14614338599718535
67,98.128,66.64,7.127786280587316,-0.08046988826809508
68,98.224,66.91,7.327998040243983,-0.1242528673428208
69,98.356,67.01,7.340838961303234,-0.1498689335935256
70,98.574,66.79,7.4112143609672785,-0.15000760382500247
71,98.342,65.42,7.647361196577549,-0.10485073668616159
