round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,39.86659369150405,6.520743556320667,76.1067686714232,0.0,True,8,4096,0.1,10,0.01,0.01,1234
2,46.37835729303565,8.377895975112915,74.89793817698956,-0.46451377868652344,True,8,4096,0.1,10,0.01,0.01,1234
3,52.85240946443853,9.95251885652542,74.57910721190274,-0.43203258514404297,True,8,4096,0.1,10,0.01,0.01,1234
4,53.034957385774405,10.20844554901123,74.71491223201156,-0.48212258021036786,True,8,4096,0.1,10,0.01,0.01,1234
5,54.854022404746615,11.202182126045226,76.27192064933479,-0.7706730961799622,True,8,4096,0.1,10,0.01,0.01,1234
6,60.9895307935891,13.095703113079072,76.74130704440176,-0.9041037082672119,True,8,4096,0.1,10,0.01,0.01,1234
7,63.15297001779477,14.1840651512146,75.08430717140436,-0.7357020378112793,True,8,4096,0.1,10,0.01,0.01,1234
8,63.69823843377875,14.35849940776825,74.43119202367961,-1.20729432787214,True,8,4096,0.1,10,0.01,0.01,1234
9,67.08208684622949,16.600888991355895,75.08428311161697,-0.5990312099456787,True,8,4096,0.1,10,0.01,0.01,1234
10,70.13080056038378,16.972656202316283,76.39260692708194,-1.1841171582539876,True,8,4096,0.1,10,0.01,0.01,1234
11,72.28154877274787,18.023976230621336,77.07864263094962,-0.8884274244308472,True,8,4096,0.1,10,0.01,0.01,1234
12,74.71985958708412,19.003906178474427,75.78255140781403,-0.40227593075145374,True,8,4096,0.1,10,0.01,0.01,1234
13,75.05358676605502,18.940934801101683,80.90688147395849,-0.6523197094599406,True,8,4096,0.1,10,0.01,0.01,1234
14,77.57013011111835,19.796268796920778,76.33461215347052,-0.6552681372715876,True,8,4096,0.1,10,0.01,0.01,1234
15,79.64091874457033,20.4367591381073,76.57073912769556,-0.7816111530576434,True,8,4096,0.1,10,0.01,0.01,1234
16,79.96147986996593,20.33977642059326,77.01124938204885,-0.48430975278218585,True,8,4096,0.1,10,0.01,0.01,1234
17,82.4050459313895,21.753771543502808,75.8898888323456,-0.5524957031011581,True,8,4096,0.1,10,0.01,0.01,1234
18,83.5055212261725,20.922009658813476,75.58764405734837,-0.5611467361450195,True,8,4096,0.1,10,0.01,0.01,1234
19,84.80718627665995,21.593143796920778,75.84335515275598,-0.42575059996710884,True,8,4096,0.1,10,0.01,0.01,1234
20,85.35235301949909,21.950094199180604,76.54328135214746,-0.48058374304520457,True,8,4096,0.1,10,0.01,0.01,1234
21,84.95569347697878,21.23114230632782,77.32504237815738,-0.6419338583946228,True,8,4096,0.1,10,0.01,0.01,1234
22,88.36293197611394,23.21962547302246,75.64997374266386,-0.6708733694893974,True,8,4096,0.1,10,0.01,0.01,1234
23,87.16472158221544,22.02552535533905,75.24434837512672,-0.8219449953599409,True,8,4096,0.1,10,0.01,0.01,1234
24,89.75499229426984,23.462082386016846,75.51372757740319,-0.56350853132165,True,8,4096,0.1,10,0.01,0.01,1234
25,90.77859371355139,22.941473627090453,75.36450859159231,-0.371539443731308,True,8,4096,0.1,10,0.01,0.01,1234
26,92.19552232557257,23.711274218559264,77.5274708904326,-0.5105234146118164,True,8,4096,0.1,10,0.01,0.01,1234
27,91.55162346779042,23.844962215423585,75.66013106890023,-0.3535158634185791,True,8,4096,0.1,10,0.01,0.01,1234
28,90.95149823158378,23.515624928474427,75.168062325567,-0.660843019132261,True,8,4096,0.1,10,0.01,0.01,1234
