round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,39.9177809637631,14.45346168577671,77.1837815605104,0.0,True,8,4096,0.5,10,0.01,0.01,1234
2,52.845331164562914,23.01421070098877,76.3882431872189,-0.01941680908203125,True,8,4096,0.5,10,0.01,0.01,1234
3,62.144489092336094,27.705414867401124,75.99486888386309,-0.01477193832397461,True,8,4096,0.5,10,0.01,0.01,1234
4,67.2690172228778,30.013133001327514,75.80240280367434,-0.07062482833862305,True,8,4096,0.5,10,0.01,0.01,1234
5,74.32051781770016,31.345972633361818,77.24747335165739,-0.28738629817962646,True,8,4096,0.5,10,0.01,0.01,1234
6,78.31750545633146,32.900727319717404,78.11318848282099,-0.09365692138671874,True,8,4096,0.5,10,0.01,0.01,1234
7,82.91091147419203,33.68298764228821,76.62899782136083,-0.2386274735132853,True,8,4096,0.5,10,0.01,0.01,1234
8,85.31975610415181,34.9946120262146,76.46838806010783,-0.1644414152417864,True,8,4096,0.5,10,0.01,0.01,1234
9,89.42308375101861,35.43440194129944,76.50020414404571,-0.24077299237251282,True,8,4096,0.5,10,0.01,0.01,1234
10,90.76616166714004,35.877559185028076,76.73134216479957,-0.041005982293023005,True,8,4096,0.5,10,0.01,0.01,1234
11,93.56753129532171,37.15281529426575,78.21130115911365,-0.0886878490447998,True,8,4096,0.5,10,0.01,0.01,1234
12,94.86180080466264,37.63267803192139,78.31518843770027,-0.2733798894015225,True,8,4096,0.5,10,0.01,0.01,1234
13,95.68912649254177,37.841460132598876,84.3415802307427,-0.10150370995203654,True,8,4096,0.5,10,0.01,0.01,1234
14,96.44022388573748,38.278892803192136,78.34911361895502,-0.10137911943288949,True,8,4096,0.5,10,0.01,0.01,1234
15,95.27050963330073,37.57947187423706,78.23723509162664,-0.2848899705069406,True,8,4096,0.5,10,0.01,0.01,1234
16,96.51262389242262,38.38092660903931,77.91582957096398,-0.15081742604573567,True,8,4096,0.5,10,0.01,0.01,1234
17,97.08900375933237,38.82071671485901,78.33048466593027,-0.11239129304885864,True,8,4096,0.5,10,0.01,0.01,1234
18,97.28544909643644,38.97023167610168,77.7177706323564,-0.23037033922532024,True,8,4096,0.5,10,0.01,0.01,1234
19,97.64887783793395,40.00774488449097,78.22908343560994,0.18066146638658312,True,8,4096,0.5,10,0.01,0.01,1234
20,96.85086974304583,38.38429408073425,78.63355218619108,-0.2219313947777999,True,8,4096,0.5,10,0.01,0.01,1234
21,97.20792147638049,39.590517139434816,78.8245859760791,-0.19191179275512696,True,8,4096,0.5,10,0.01,0.01,1234
22,97.32940321992798,40.33943958282471,78.35035879723728,0.1302113760085333,True,8,4096,0.5,10,0.01,0.01,1234
23,97.45936684276816,38.612271022796634,76.62210942618549,-0.12931097637523303,True,8,4096,0.5,10,0.01,0.01,1234
24,97.60063036894516,40.2475079536438,77.34297202527523,-0.12511210856230362,True,8,4096,0.5,10,0.01,0.01,1234
25,97.90680723002497,39.503636837005615,77.81194531917572,-0.2542736927668254,True,8,4096,0.5,10,0.01,0.01,1234
26,98.43737481250233,40.461678409576415,77.77384223602712,-0.22710619926452635,True,8,4096,0.5,10,0.01,0.01,1234
27,98.4860812517103,41.357758617401124,77.4163750205189,-0.11293463523571308,True,8,4096,0.5,10,0.01,0.01,1234
28,97.85333112643598,40.45460653305054,76.85175041481853,-0.1471017113438359,True,8,4096,0.5,10,0.01,0.01,1234
29,97.56797514520399,40.01448020935059,77.3112215232104,-0.2528684564999172,True,8,4096,0.5,10,0.01,0.01,1234
30,98.209101449082,40.53273162841797,77.42846314422786,-0.1875214247867979,True,8,4096,0.5,10,0.01,0.01,1234
31,97.96252118360715,40.14715785980225,77.94460434652865,-0.2031081199645996,True,8,4096,0.5,10,0.01,0.01,1234
32,98.52761166453108,40.751953125,77.36140965670347,-0.1319149463407455,True,8,4096,0.5,10,0.01,0.01,1234
33,97.45362269105865,40.516567897796634,76.41609976999462,-0.18379460275173187,True,8,4096,0.5,10,0.01,0.01,1234
34,97.93002014917458,40.40207443237305,82.13794822618365,-0.06828623829465924,True,8,4096,0.5,10,0.01,0.01,1234
35,98.53901192685984,41.45878219604492,81.9453542213887,-0.036374905530144185,True,8,4096,0.5,10,0.01,0.01,1234
36,97.96764335006081,40.35930757522583,77.90801453590393,-0.21862822260175432,True,8,4096,0.5,10,0.01,0.01,1234
37,97.8852121563696,41.45777206420898,77.4267849791795,-0.1457721855905321,True,8,4096,0.5,10,0.01,0.01,1234
38,98.31161310316085,41.37257556915283,77.03507756628096,-0.24417444177576014,True,8,4096,0.5,10,0.01,0.01,1234
39,98.27404575164462,41.84199886322021,77.20656407624483,-0.2115815187755384,True,8,4096,0.5,10,0.01,0.01,1234
40,98.52517690667217,40.810883617401124,77.6142084877938,-0.18733571125910833,True,8,4096,0.5,10,0.01,0.01,1234
41,98.16191914338694,41.04761581420898,77.68683262169361,-0.1862543821334839,True,8,4096,0.5,10,0.01,0.01,1234
42,97.79454746197518,40.58021278381348,77.40995880775154,-0.20729157982802973,True,8,4096,0.5,10,0.01,0.01,1234
43,98.41581783172217,41.63153285980225,76.80182291939855,-0.23334318683260963,True,8,4096,0.5,10,0.01,0.01,1234
44,98.30888362460483,43.292699337005615,77.3505239635706,0.19514966565509176,True,8,4096,0.5,10,0.01,0.01,1234
45,98.40079802390343,40.626683712005615,77.31774557754397,-0.1319296576760032,True,8,4096,0.5,10,0.01,0.01,1234
46,98.16681669637626,41.4628231048584,77.68681823089719,-0.0910865412818061,True,8,4096,0.5,10,0.01,0.01,1234
47,98.34161341266064,41.49212007522583,77.30396153777838,-0.20847147444020148,True,8,4096,0.5,10,0.01,0.01,1234
48,97.65287181093164,41.67429943084717,76.71954996325076,-0.20342360151574967,True,8,4096,0.5,10,0.01,0.01,1234
49,97.8630110689679,41.760843181610106,76.68511252477765,-0.10588014622529347,True,8,4096,0.5,10,0.01,0.01,1234
50,98.32656070406604,41.328125,76.31764158792794,-0.23126959800720215,True,8,4096,0.5,10,0.01,0.01,1234
51,98.53201307877961,41.806303882598876,76.63058383204043,-0.2454183840751648,True,8,4096,0.5,10,0.01,0.01,1234
52,98.60037926518876,43.369140625,76.084905622527,-0.053229238472732844,True,8,4096,0.5,10,0.01,0.01,1234
