round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,70.21222417640023,14.421807610988617,68.67595528624952,0.0,True,8,4096,0.1,10,0.0001,0.0001,1234
2,74.11224156655557,16.712015056610106,68.91320818476379,-0.4095323085784912,True,8,4096,0.1,10,0.0001,0.0001,1234
3,76.16082517352984,18.091662073135375,69.58269339054823,0.16537261009216309,True,8,4096,0.1,10,0.0001,0.0001,1234
4,77.53852109305288,18.940934824943543,71.013592755422,-0.23886775970458984,True,8,4096,0.1,10,0.0001,0.0001,1234
5,78.91289982997422,20.351225757598876,71.65902061201632,0.9130266308784485,True,8,4096,0.1,10,0.0001,0.0001,1234
6,77.619522193645,20.49467945098877,72.14990392141044,-0.636512565612793,True,8,4096,0.1,10,0.0001,0.0001,1234
7,79.92956911995752,20.371093702316283,72.95351271890104,-0.4312680164972941,True,8,4096,0.1,10,0.0001,0.0001,1234
8,78.77804557151137,19.81546332836151,70.79159680567682,0.1781306266784668,True,8,4096,0.1,10,0.0001,0.0001,1234
9,79.69321257559982,21.491109895706177,71.85269689187407,-0.4516489803791046,True,8,4096,0.1,10,0.0001,0.0001,1234
10,78.17090982616767,20.359644412994385,72.07958349213004,0.05494917763604058,True,8,4096,0.1,10,0.0001,0.0001,1234
11,77.55427629418807,20.795056533813476,72.88432088308036,0.5952328205108642,True,8,4096,0.1,10,0.0001,0.0001,1234
12,80.88987216675862,21.880051183700562,74.22365559637547,-0.024912010539661755,True,8,4096,0.1,10,0.0001,0.0001,1234
13,78.98494112708026,21.01394124031067,71.2544119246304,0.696510374546051,True,8,4096,0.1,10,0.0001,0.0001,1234
14,80.81817938640414,21.62749195098877,71.54640648141503,-0.1942437795492319,True,8,4096,0.1,10,0.0001,0.0001,1234
15,77.79286528906276,21.723127603530884,72.3083782158792,-0.1596565076283046,True,8,4096,0.1,10,0.0001,0.0001,1234
16,81.36634626575663,22.153488659858702,72.79655397497118,0.558879041671753,True,8,4096,0.1,10,0.0001,0.0001,1234
17,80.19096294346349,21.15032331943512,73.62878616526723,-0.23858857154846191,True,8,4096,0.1,10,0.0001,0.0001,1234
18,80.05310297186318,21.95144121646881,71.13290207833052,-0.24208429280449362,True,8,4096,0.1,10,0.0001,0.0001,1234
19,78.96517399639734,22.293238162994385,71.95944132097065,-0.1450493203269111,True,8,4096,0.1,10,0.0001,0.0001,1234
20,82.83747392444464,23.68231408596039,76.88206184282899,0.30326038285305623,True,8,4096,0.1,10,0.0001,0.0001,1234
21,82.02483117176716,23.28697462081909,81.41699362918735,0.14522497057914735,True,8,4096,0.1,10,0.0001,0.0001,1234
22,79.16992556120404,22.813847041130067,73.47391438670456,-0.09417729718344552,True,8,4096,0.1,10,0.0001,0.0001,1234
23,83.86044641584908,24.48040142059326,71.59037810377777,-0.24788904190063477,True,8,4096,0.1,10,0.0001,0.0001,1234
24,82.01771675583166,22.327249455451966,71.95976271480322,-0.17988048947375754,True,8,4096,0.1,10,0.0001,0.0001,1234
25,82.0478119978559,25.974878883361818,72.72091828659177,-0.4150056093931198,True,8,4096,0.1,10,0.0001,0.0001,1234
26,84.29195215945967,22.994342517852782,72.68131350539625,-0.7054293060302734,True,8,4096,0.1,10,0.0001,0.0001,1234
27,84.82736291848715,25.8442214012146,72.92059488780797,0.1553554259813749,True,8,4096,0.1,10,0.0001,0.0001,1234
28,83.0595877374001,24.29855880737305,71.65958930552006,-0.21457103888193765,True,8,4096,0.1,10,0.0001,0.0001,1234
29,80.99091082432356,24.54977104663849,71.7852435708046,-0.6406041724341256,True,8,4096,0.1,10,0.0001,0.0001,1234
30,82.83783107320026,23.578933215141298,72.05815418064594,-0.09295311878467429,True,8,4096,0.1,10,0.0001,0.0001,1234
31,84.53208505741343,25.439116334915163,73.33822172507644,-0.5127700646718343,True,8,4096,0.1,10,0.0001,0.0001,1234
32,83.79759792500042,25.103717660903932,73.75229461863637,-0.4232702793613557,True,8,4096,0.1,10,0.0001,0.0001,1234
33,84.09558504310435,24.086408829689027,71.57356991060078,-0.13943417370319366,True,8,4096,0.1,10,0.0001,0.0001,1234
34,84.8683162084095,25.435412073135375,71.79550229385495,-0.08048734520420883,True,8,4096,0.1,10,0.0001,0.0001,1234
35,85.36741597040383,26.36382007598877,72.5861874949187,-0.513601681765388,True,8,4096,0.1,10,0.0001,0.0001,1234
36,86.28291278130112,25.638806438446046,73.9489952865988,-0.4456530911581857,True,8,4096,0.1,10,0.0001,0.0001,1234
37,86.01466090675629,26.058054876327514,73.72799739427865,0.014941540029313829,True,8,4096,0.1,10,0.0001,0.0001,1234
38,85.82427553532659,26.36550374031067,71.37493951804936,-0.07334543563224175,True,8,4096,0.1,10,0.0001,0.0001,1234
39,84.56005511984095,26.387728905677797,71.9103071372956,0.009699695988705284,True,8,4096,0.1,10,0.0001,0.0001,1234
40,86.5371957860826,26.28266429901123,72.23831740953028,0.5362272445972149,True,8,4096,0.1,10,0.0001,0.0001,1234
41,86.36456610220662,24.503636837005615,72.96917258389294,-0.6437689363956451,True,8,4096,0.1,10,0.0001,0.0001,1234
42,84.65998826803676,26.78407859802246,73.30499136075377,1.3823738505200642,True,8,4096,0.1,10,0.0001,0.0001,1234
43,87.11303300906897,26.163792991638182,71.5657298155129,-0.02013398919786726,True,8,4096,0.1,10,0.0001,0.0001,1234
44,87.6563288281354,26.84469265937805,71.95244851335883,0.19461256958717524,True,8,4096,0.1,10,0.0001,0.0001,1234
45,86.77021805711613,25.653623342514038,72.65031545981765,-0.5708479881286621,True,8,4096,0.1,10,0.0001,0.0001,1234
46,87.46424617621685,26.459119081497192,73.57369056530297,-0.05890104240841336,True,8,4096,0.1,10,0.0001,0.0001,1234
47,87.61449552844772,26.473935842514038,74.31051065027714,0.19901864684146384,True,8,4096,0.1,10,0.0001,0.0001,1234
48,87.87614555056129,27.523235416412355,71.54167521744967,-0.5595002833833086,True,8,4096,0.1,10,0.0001,0.0001,1234
49,88.0011900212667,26.985789227485657,72.19611067511141,-0.32529521485169727,True,8,4096,0.1,10,0.0001,0.0001,1234
50,88.47362527004394,27.922615814208985,76.18404378555715,1.3875508430052776,True,8,4096,0.1,10,0.0001,0.0001,1234
51,88.28397200141781,26.746699857711793,81.35009823553264,1.2160171818733216,True,8,4096,0.1,10,0.0001,0.0001,1234
52,88.79703843909203,27.376414346694947,75.33930169604719,1.3176023048513077,True,8,4096,0.1,10,0.0001,0.0001,1234
53,88.72791529693743,27.376414394378664,71.81489626504481,-0.5292208240582392,True,8,4096,0.1,10,0.0001,0.0001,1234
54,88.96891142638053,27.529970264434816,72.00705329328775,-0.6531663953133349,True,8,4096,0.1,10,0.0001,0.0001,1234
55,89.00545838538487,26.464507031440736,72.72469680942595,-0.20744283773280955,True,8,4096,0.1,10,0.0001,0.0001,1234
56,88.89933090756197,26.571255350112914,73.29030117578804,-0.5064101609316739,True,8,4096,0.1,10,0.0001,0.0001,1234
57,89.38312749873894,27.899380326271057,74.56051576510072,-0.6195742913654873,True,8,4096,0.1,10,0.0001,0.0001,1234
58,89.16414163144808,27.61415672302246,71.23882609978318,-0.37779053261405543,True,8,4096,0.1,10,0.0001,0.0001,1234
59,89.44507722582932,27.039332008361818,71.32117816060781,1.260249109103762,True,8,4096,0.1,10,0.0001,0.0001,1234
60,89.7470825221584,28.04586477279663,72.06112780235708,0.05898960162017305,True,8,4096,0.1,10,0.0001,0.0001,1234
61,89.5784272273433,27.290207433700562,73.15722803398967,1.1708375056584677,True,8,4096,0.1,10,0.0001,0.0001,1234
62,89.82565308593419,27.264277935028076,72.97274503856897,0.03139503275761839,True,8,4096,0.1,10,0.0001,0.0001,1234
63,89.9143236017869,27.62560601234436,71.12736045382917,0.27006343103224234,True,8,4096,0.1,10,0.0001,0.0001,1234
64,89.98309156321595,27.31175904273987,71.63063821941614,0.052713806667025125,True,8,4096,0.1,10,0.0001,0.0001,1234
65,89.82618467687402,27.846174478530884,72.10526951029897,0.8543815203011036,True,8,4096,0.1,10,0.0001,0.0001,1234
66,90.05336922507789,27.526939630508423,72.8301700130105,0.8373086635883038,True,8,4096,0.1,10,0.0001,0.0001,1234
67,90.22037003177005,27.747844886779784,73.73018593527377,-0.5824230403611155,True,8,4096,0.1,10,0.0001,0.0001,1234
68,90.53872201067762,27.34779100418091,71.34267344512045,1.3945184608003987,True,8,4096,0.1,10,0.0001,0.0001,1234
69,90.26975290389183,27.978178882598876,71.73683240450919,1.461613087093129,True,8,4096,0.1,10,0.0001,0.0001,1234
70,90.55898679196903,27.661301183700562,72.38019422441721,-0.025069986564525658,True,8,4096,0.1,10,0.0001,0.0001,1234
71,90.63308548673159,28.535492920875548,73.14016202092171,-0.21650787081037248,True,8,4096,0.1,10,0.0001,0.0001,1234
72,90.78397237542484,27.981546354293823,73.67135416157544,0.8231093077592446,True,8,4096,0.1,10,0.0001,0.0001,1234
73,91.01923157393738,27.327586221694947,71.41408880054951,-0.0032017131646474204,True,8,4096,0.1,10,0.0001,0.0001,1234
