round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,1.07,1.63,8.764772340655327,0.0
2,1.864,2.37,7.235146522521973,-0.07520627975463867
3,2.552,2.97,7.082268204540014,-0.08915400505065918
4,3.014,3.55,7.1690412648022175,-0.10445674260457356
5,3.628,4.15,7.203612893819809,-0.10513448715209961
6,4.136,4.78,7.206146428361535,-0.10495796203613281
7,4.602,5.28,7.205149004235864,-0.11026565233866374
8,4.906,5.72,7.3213278111070395,-0.11731835774012975
9,5.374,6.22,7.396907763555646,-0.12497979402542114
10,5.56,6.44,7.464359130710363,-0.1335728963216146
11,6.064,6.8,7.550116205587983,-0.1449230670928955
12,6.214,6.99,7.334007976576686,-0.15402082963423294
13,6.602,7.24,7.029991377145052,-0.16825505097707114
14,6.976,7.36,7.212346838787198,-0.18381613951462966
15,7.074,7.6,7.08521731197834,-0.19670210565839494
16,7.452,8.05,7.23521082662046,-0.20829156239827473
17,7.702,8.27,7.200261123478413,-0.22684739530086517
18,8.14,8.71,7.27695487998426,-0.23677765621858485
19,8.356,8.85,7.44457171857357,-0.2493190500471327
20,8.824,9.03,7.134155072271824,-0.2566958603106047
21,8.904,9.14,7.2985462583601475,-0.2607961416244507
22,9.356,9.61,7.244523545727134,-0.2745760054815383
23,9.38,9.73,7.289855033159256,-0.27889546481045807
24,9.786,9.81,7.205734580755234,-0.2884020909019139
25,10.0,10.1,7.354853151366115,-0.2955301105976105
26,10.142,10.55,7.190575981512666,-0.2994961166381836
27,10.298,10.68,7.1754770912230015,-0.30434415890620303
28,10.6,10.82,7.3927768971771,-0.31165492976153336
29,10.686,10.73,7.331724738702178,-0.32003579820905415
30,10.942,11.04,7.029472270980477,-0.32139826643055885
31,10.922,11.34,7.3179423082619905,-0.3275554815928141
32,11.388,11.46,7.1909425016492605,-0.334710874865132
33,11.53,11.65,7.227236162871122,-0.3412391170859337
34,11.658,11.86,7.228809291496873,-0.3435773921735359
35,11.874,12.0,7.289405891671777,-0.3503321829964133
36,12.234,11.94,7.097067415714264,-0.35511933735438755
37,12.292,12.12,7.323459409177303,-0.3586079279581706
