round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,23.642,32.17,10.528297288983595,0.0
2,35.774,39.62,6.817509073007386,-0.24366652965545654
3,40.868,43.64,7.1380341540207155,-0.27468156814575195
4,44.846,46.81,6.937379089009482,-0.2486569086710612
5,47.936,49.68,6.929689156997483,-0.25033247470855713
6,50.948,52.86,6.943648648011731,-0.29791998863220215
7,53.248,54.81,7.1106650630244985,-0.26654287179311115
8,55.688,56.81,6.984350254992023,-0.30000083787100656
9,57.75,59.08,7.078927579015726,-0.30435775965452194
10,59.674,58.64,7.021505022014026,-0.2831239567862617
11,61.108,61.46,6.971474399004364,-0.3422635793685913
12,62.774,62.49,6.986257554992335,-0.3433691154826771
13,63.974,64.56,7.084707579022506,-0.2884259323279063
14,65.204,65.07,7.0756974020041525,-0.33583339819541347
15,66.424,65.27,7.181499342987081,-0.2972296987261091
16,67.078,66.04,7.0718335259880405,-0.28884697357813516
17,68.302,67.79,6.979446441022446,-0.3506865128874779
18,69.044,66.87,7.146811877988512,-0.28118564451442046
19,69.88,69.71,7.000779124995461,-0.3483972946802775
20,70.542,68.5,7.025197706010658,-0.2880519471670452
21,71.518,70.31,6.97622300699004,-0.30701232254505156
22,72.252,70.92,7.03815678297542,-0.3327521412145524
23,72.752,72.21,7.115423193987226,-0.3323354179208929
24,73.388,71.84,7.10248639198835,-0.32160919645558234
25,74.432,71.35,7.029552606982179,-0.25897349665562314
26,74.856,74.1,6.970626450987766,-0.34321309328079225
27,75.454,74.42,7.0316857479920145,-0.35693915073688215
28,76.188,73.34,7.130421212001238,-0.304188710671884
29,76.6,74.4,7.131754758011084,-0.3223977695618357
30,77.216,74.91,7.040123758022673,-0.3211434606848092
31,77.796,75.64,7.101760295015993,-0.32964566349983215
32,77.854,75.76,6.975166830001399,-0.32510087759264056
33,78.668,76.27,7.122439721977571,-0.3328159535303712
34,79.08,76.32,7.035162643995136,-0.3048536009860761
35,79.666,77.53,7.060104761010734,-0.35030607966815724
36,80.052,77.65,7.043465953000123,-0.34368691529546463
37,80.166,77.38,7.011139718990307,-0.2990308089388741
38,80.766,78.53,6.904244250006741,-0.3214976006263011
39,81.112,78.47,6.947408890002407,-0.33454478728143794
40,81.634,79.05,7.004407052998431,-0.33473801689270216
41,81.78,78.74,6.993505805992754,-0.2976814769208431
42,82.288,78.87,7.186837504006689,-0.3016130560781898
43,82.478,79.12,7.014496091986075,-0.32125494948455263
44,82.938,79.99,7.045491753000533,-0.31110498932904973
45,83.082,79.14,7.063184782018652,-0.28565818003632804
46,83.538,80.77,7.102564861008432,-0.31464805669254725
47,83.896,80.28,6.954646441998193,-0.29158757627010345
48,84.192,81.06,6.954192714998499,-0.315491498150724
49,84.326,80.91,7.0194253619993106,-0.31338665323952836
50,84.304,81.15,7.088421346008545,-0.3067590989628617
