round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,alpha,warmup_rounds,rebuild_every,top_r
1,2.548,2.42,49.993804693222046,0.0,True,0.5,10,0,8
2,6.13,6.529999999999999,48.29332399368286,-0.31875610351562483,True,0.5,10,0,8
3,8.985999999999999,9.58,48.34368276596069,-0.21859101562500002,True,0.5,10,0,8
4,11.424,12.01,48.404863357543945,-0.16807809448242192,True,0.5,10,0,8
5,13.006,13.930000000000001,48.6639609336853,-0.0992923828125,True,0.5,10,0,8
6,14.956,15.75,48.35718655586243,-0.10921853637695315,True,0.5,10,0,8
7,16.53,17.24,48.55765175819397,-0.07564291992187497,True,0.5,10,0,8
8,17.485999999999997,18.34,48.6564998626709,-0.06748717651367189,True,0.5,10,0,8
9,18.716,19.64,48.63339400291443,-0.05570836791992182,True,0.5,10,0,8
10,19.486,20.599999999999998,48.378013134002686,-0.05616627807617185,True,0.5,10,0,8
11,19.794,20.62,47.83832120895386,-0.010690472412109474,True,0.5,10,0,8
12,19.914,20.580000000000002,48.54730701446533,-0.004024707031250063,True,0.5,10,0,8
13,20.355999999999998,20.95,49.89910340309143,-0.018897979736327918,True,0.5,10,0,8
14,20.284,21.12,48.172670125961304,-0.006821862792968858,True,0.5,10,0,8
15,20.374,21.29,48.96653866767883,-0.004201391601562498,True,0.5,10,0,8
16,20.712,21.36,48.08710980415344,-0.014913726806640604,True,0.5,10,0,8
17,21.048000000000002,21.84,48.36897563934326,-0.01980133056640625,True,0.5,10,0,8
18,21.284,21.91,48.79339361190796,0.0015027709960937052,True,0.5,10,0,8
19,21.88,22.82,48.1501829624176,-0.03125039672851555,True,0.5,10,0,8
20,22.044,22.82,48.75707745552063,-0.01678540039062506,True,0.5,10,0,8
21,22.272,23.330000000000002,48.14819622039795,-0.019473999023437473,True,0.5,10,0,8
22,22.96,23.77,48.29248285293579,-0.024386871337890616,True,0.5,10,0,8
23,23.49,24.32,48.01845932006836,-0.02415234985351571,True,0.5,10,0,8
24,23.983999999999998,24.66,48.712475061416626,-0.02346010131835934,True,0.5,10,0,8
25,24.526,24.84,50.133615255355835,-0.026253320312499984,True,0.5,10,0,8
26,25.056,25.290000000000003,48.275349378585815,-0.02288946533203138,True,0.5,10,0,8
27,25.524,25.91,48.511242151260376,-0.028892059326171803,True,0.5,10,0,8
28,26.384,26.33,47.73256778717041,-0.026314123535156143,True,0.5,10,0,8
29,26.601999999999997,26.290000000000003,48.62409329414368,-0.01625061645507806,True,0.5,10,0,8
30,27.362,27.01,48.636271953582764,-0.03212180175781274,True,0.5,10,0,8
31,27.895999999999997,27.49,48.29552483558655,-0.027950531005859248,True,0.5,10,0,8
