round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,3.078,5.25,8.323519978672266,0.0
2,6.572,8.32,6.957901078276336,-0.23339486122131348
3,9.26,10.71,7.042716256342828,-0.30151987075805664
4,11.35,11.85,6.950010823085904,-0.339277187983195
5,12.584,13.68,7.03283472917974,-0.3691628575325012
6,14.168,14.63,7.035518984310329,-0.3734468936920166
7,15.072,15.82,6.968149492517114,-0.3968813419342041
8,16.21,17.33,7.040012715384364,-0.37588487352643696
9,17.39,17.81,7.058687078766525,-0.3712310791015625
10,18.392,19.09,7.121477539651096,-0.4068077670203315
11,19.292,20.44,7.107640999369323,-0.43969082832336426
12,20.552,20.44,7.014934058301151,-0.4220843965357
13,21.69,21.43,7.1016511246562,-0.426032821337382
14,22.868,22.29,7.189532577991486,-0.4308972908900334
15,23.994,23.74,7.250677668489516,-0.47067032541547504
16,24.982,25.36,7.114129610359669,-0.5268420060475667
17,26.216,25.42,7.113891588523984,-0.518057107925415
18,27.186,26.8,7.024610495194793,-0.54576777009403
19,28.532,28.02,6.9377530962228775,-0.5419269932640923
20,29.624,27.85,7.1849225629121065,-0.5046416458330656
21,30.468,29.73,7.079896110109985,-0.5860491275787354
22,31.43,29.76,7.121165160089731,-0.5717667738596598
23,32.346,30.99,7.180564992129803,-0.6319858052513816
24,33.332,30.98,7.221212881617248,-0.5476115060889203
25,34.224,31.78,7.133425961248577,-0.6076318323612213
26,34.796,33.46,6.972679167054594,-0.6350376510620117
27,35.508,34.62,7.228935979306698,-0.703038174372453
28,36.352,35.3,7.015978581272066,-0.6796036119814273
29,37.462,34.96,7.0468493374064565,-0.651020062821252
30,37.7,36.14,7.130540959537029,-0.6978096057628763
31,38.582,37.1,7.165868847630918,-0.7230099161465963
32,39.242,37.25,7.278196197934449,-0.6960961088057487
33,40.016,38.01,7.071326337754726,-0.7236965373158455
34,40.6,37.17,7.138539946638048,-0.6189267563097405
35,41.276,39.94,7.247919023036957,-0.7704313712961534
36,41.8,39.24,7.025625669397414,-0.6877171380179269
37,42.568,39.83,6.990059965290129,-0.7099759346908994
