round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,15.9272,2.38,41.89208215288818,0.0
2,18.980800000000002,3.54,40.460101964883506,-0.13416719436645508
3,21.8804,4.42,40.450756886042655,-0.19564056396484375
4,24.2624,5.99,40.609686732292175,-0.26159032185872394
5,26.314799999999998,7.61,40.598394881002605,-0.30481934547424316
6,27.932000000000002,8.68,40.52863256353885,-0.33203492164611814
7,29.295199999999998,9.56,41.92381715029478,-0.35081716378529865
8,30.363200000000003,10.51,40.52112107537687,-0.365448066166469
9,31.5876,11.15,40.58024236280471,-0.37384098768234253
10,32.4204,11.99,40.82092332933098,-0.37793352868821883
11,33.144,12.56,40.73006710316986,-0.3789078712463379
12,33.9904,13.14,40.61256960872561,-0.3827717737718062
13,34.7552,13.72,40.618347379378974,-0.38584230343500775
14,35.5124,14.37,40.80226735584438,-0.38852957578805775
15,36.1736,14.74,40.73366411123425,-0.3933886630194528
16,36.8988,15.19,40.96636364236474,-0.39457953770955406
17,37.5364,15.75,40.842536410316825,-0.4102924019098282
18,38.352399999999996,16.2,40.81283758953214,-0.4180593911339255
19,39.0616,16.68,40.92664545867592,-0.43225324153900146
20,39.7892,17.33,40.91660269256681,-0.44252637812965795
21,40.571200000000005,17.66,40.69118823762983,-0.45591715574264524
22,41.2052,18.37,40.80951455514878,-0.4753342696598598
23,41.802,18.6,41.82116002123803,-0.486028562892567
24,42.462,19.0,40.64590809587389,-0.4941033280414084
25,43.1596,19.83,40.89644829556346,-0.5141317049662272
26,43.8172,20.03,40.59367730282247,-0.5225727939605713
27,44.3904,20.56,40.90120998863131,-0.5376693102029654
28,45.0384,21.18,40.739482526667416,-0.5482274779567012
29,45.6244,21.28,41.07773385103792,-0.5460600086620876
30,46.0692,21.92,40.84499983955175,-0.5623881816864014
31,46.7752,22.4,40.79448835924268,-0.5809795300165812
32,47.3856,22.77,40.775702238082886,-0.5874062815020161
33,47.916399999999996,23.23,40.72299254592508,-0.5971213430166245
34,48.3228,23.55,40.79453473165631,-0.5999328512133975
35,49.1516,24.09,42.061440013349056,-0.6136569556067971
36,49.486799999999995,24.43,40.823854309506714,-0.6168034621647426
37,49.9744,24.89,40.6921347444877,-0.619107981522878
38,50.57000000000001,25.2,40.75078023504466,-0.6247569483679694
39,50.99399999999999,25.57,40.81918730866164,-0.6288744085713437
40,51.4324,26.06,40.86909612361342,-0.6306279622591459
41,51.883599999999994,26.4,40.87467432394624,-0.6412552535533905
42,52.3288,26.88,40.80929048452526,-0.6453911327734226
43,52.7776,27.16,40.659652665257454,-0.6452438661030361
44,53.27119999999999,27.71,40.88733179587871,-0.646827919538631
45,53.434000000000005,27.54,40.5302847083658,-0.642224208875136
46,53.966800000000006,27.99,40.737739788368344,-0.6492200321621365
47,54.3408,28.63,41.91502872295678,-0.656487921009893
48,54.7832,28.88,41.12418958730996,-0.6507515349286668
49,55.0616,28.88,40.80135145690292,-0.6455011914173762
50,55.489200000000004,29.87,40.756289986893535,-0.6642293151544065
51,55.8048,30.01,41.01992221083492,-0.6613755559921265
52,56.1764,30.4,40.896383156999946,-0.6633367398205925
53,56.4988,30.49,41.03082330245525,-0.6659543239153348
54,56.796,30.85,41.14111246727407,-0.6641753169725526
55,57.0372,31.24,40.834604629315436,-0.6672809653811984
56,57.629200000000004,31.26,40.878284549340606,-0.670883711901578
57,57.8744,31.45,40.765331097878516,-0.6695396048682076
58,58.1084,31.71,42.718307747505605,-0.671920002552501
59,58.2936,31.8,40.98224487155676,-0.6716604890494511
60,58.86559999999999,31.91,40.88026262726635,-0.6642742480261851
61,59.045199999999994,32.38,40.93431626353413,-0.6742271582285563
62,59.4,32.76,40.84308251645416,-0.671372151765667
63,59.6448,32.98,40.950903001241386,-0.6690003795008506
64,59.919999999999995,33.2,40.71477518603206,-0.6722699460529146
65,60.120799999999996,33.52,40.99110060464591,-0.6805298402905464
66,60.501599999999996,33.55,40.85704023949802,-0.6829854745131273
67,60.785199999999996,33.78,40.95125907380134,-0.6776550357991998
68,61.144,34.31,40.90081643499434,-0.6843200139145353
69,61.415600000000005,34.09,40.955947631038725,-0.683286833412507
70,61.6744,34.45,42.035468629561365,-0.6811898100203362
71,61.9336,34.26,40.87005078140646,-0.6813049248286656
72,62.2488,34.92,40.89665272273123,-0.6882549524307251
73,62.5028,34.81,40.65721698012203,-0.6701815707816018
74,62.7176,35.19,40.914026343263686,-0.6870320365853506
75,63.025200000000005,35.61,40.85301840119064,-0.6891394595842104
76,63.402800000000006,35.88,40.92121962737292,-0.6827008120218913
77,63.43,35.91,40.869813086465,-0.6805616476033863
78,63.8208,36.26,40.93002121336758,-0.6859749880704012
79,64.2244,36.36,40.90473116468638,-0.6862262961192008
80,64.4568,36.54,40.82243880815804,-0.6792378938650783
81,64.6628,36.71,42.8947084993124,-0.6801077514886856
82,64.754,36.78,40.862031509168446,-0.6785579787360297
83,65.0908,36.9,40.85519860126078,-0.6881448815508586
84,65.3716,37.35,40.754348683170974,-0.6826857357140047
85,65.538,37.73,40.835107143968344,-0.6893271988346463
86,65.7948,37.65,41.07452278584242,-0.6864306926727295
87,66.06840000000001,37.96,40.726270138286054,-0.6878038173498109
88,66.2372,38.46,40.998573563061655,-0.6886909008026123
89,66.57119999999999,38.29,40.75156296044588,-0.6859671121293848
90,66.778,38.31,40.68869176134467,-0.6779777856355302
91,66.9548,38.39,40.91689321398735,-0.6865179551972284
92,67.17999999999999,38.94,40.800852173008025,-0.6819284171848506
93,67.3924,39.18,42.166158684529364,-0.6912114749784055
94,67.6344,39.03,40.56280319392681,-0.6819201002838791
95,67.874,39.53,40.9802261730656,-0.6851159017136756
96,68.03240000000001,39.58,40.6629543621093,-0.6862241757543464
97,68.3132,39.73,41.024422694928944,-0.6865216468771299
98,68.54599999999999,39.71,40.79414737224579,-0.6876803685709373
99,68.8272,40.17,40.679120804183185,-0.6869053244590759
100,68.9624,39.79,40.98840272240341,-0.678914244728859
101,69.1748,40.65,40.57642360869795,-0.6879294371604919
102,69.3184,40.32,40.952832616865635,-0.6801727290200715
103,69.56,40.44,40.77483374159783,-0.6811479633929682
104,69.7288,40.62,41.10056607518345,-0.6754436944294901
