round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,25.044834708228287,8.410897102952003,73.1420862795785,0.0,True,8,4096,0.5,10,0.001,0.001,1234
2,35.16703451528762,15.008418607711793,72.39200583472848,-0.04940199851989746,True,8,4096,0.5,10,0.001,0.001,1234
3,40.80977833789349,18.573208498954774,72.37795667350292,-0.0335310697555542,True,8,4096,0.5,10,0.001,0.001,1234
4,45.40203845471267,21.2749192237854,72.72924914676696,-0.2315851847330729,True,8,4096,0.5,10,0.001,0.001,1234
5,49.172749412412024,23.756398105621336,73.23089594300836,-0.42298734188079834,True,8,4096,0.5,10,0.001,0.001,1234
6,52.62835253851913,25.558324337005615,74.20278193801641,-0.3368018627166748,True,8,4096,0.5,10,0.001,0.001,1234
7,55.51595347729583,27.056842660903932,72.6820883397013,-0.4853946765263875,True,8,4096,0.5,10,0.001,0.001,1234
8,57.942940311584074,28.85304412841797,71.96279590111226,-0.24522021838596889,True,8,4096,0.5,10,0.001,0.001,1234
9,61.04371670972644,29.791891145706177,73.03316840250045,-0.36746445298194885,True,8,4096,0.5,10,0.001,0.001,1234
10,63.51375076857546,30.1091055393219,73.3048127265647,-0.24765072928534615,True,8,4096,0.5,10,0.001,0.001,1234
11,66.55870268391358,31.285358238220216,72.52775184065104,-0.372412109375,True,8,4096,0.5,10,0.001,0.001,1234
12,68.61969261844148,31.751751041412355,71.49947244580835,-0.37227778001265094,True,8,4096,0.5,10,0.001,0.001,1234
13,70.75835267188134,32.74414052963257,72.50376552529633,-0.3457198937733968,True,8,4096,0.5,10,0.001,0.001,1234
14,73.65835150808502,32.76333508491516,71.29071947000921,-0.25885576468247634,True,8,4096,0.5,10,0.001,0.001,1234
15,75.08763763210352,32.981209659576415,72.1153809223324,-0.24593727929251535,True,8,4096,0.5,10,0.001,0.001,1234
16,77.68670248034253,33.72878484725952,73.10294326860458,-0.3142946402231852,True,8,4096,0.5,10,0.001,0.001,1234
17,79.52988830204714,34.35344834327698,71.21453533601016,-0.17302206158638,True,8,4096,0.5,10,0.001,0.001,1234
18,81.77362580386864,34.16082973480225,71.00398335698992,-0.21450477487900677,True,8,4096,0.5,10,0.001,0.001,1234
19,84.46245822871421,34.64641695022583,71.35473816748708,-0.1810018883811103,True,8,4096,0.5,10,0.001,0.001,1234
20,85.10826547195856,34.84442343711853,72.30388552136719,-0.2260154548444246,True,8,4096,0.5,10,0.001,0.001,1234
21,87.05849780398607,34.76124720573425,72.82121102605015,-0.09956417083740235,True,8,4096,0.5,10,0.001,0.001,1234
22,88.36969857906763,35.30778546333313,71.66265767160803,-0.12927227928524926,True,8,4096,0.5,10,0.001,0.001,1234
23,89.21851386136426,35.4535964012146,71.03992028255016,-0.022753986445340244,True,8,4096,0.5,10,0.001,0.001,1234
24,90.48752914474503,35.61624445915222,71.16740035265684,-0.12474055912183679,True,8,4096,0.5,10,0.001,0.001,1234
25,91.1144057730335,36.18298754692078,72.13457809668034,-0.13219724098841348,True,8,4096,0.5,10,0.001,0.001,1234
26,92.72663613000447,35.96410274505615,72.64535540621728,-0.09187475204467774,True,8,4096,0.5,10,0.001,0.001,1234
27,94.0883640026662,36.31600213050842,71.49809223972261,-0.09333527088165283,True,8,4096,0.5,10,0.001,0.001,1234
28,93.89818002974702,35.968143701553345,70.99253010191023,-0.045560739658496996,True,8,4096,0.5,10,0.001,0.001,1234
29,94.22851790356432,36.34630923271179,71.20853915438056,-0.06510555744171143,True,8,4096,0.5,10,0.001,0.001,1234
30,94.96329980931712,36.576980113983154,72.29845974128693,-0.02048962691734577,True,8,4096,0.5,10,0.001,0.001,1234
31,95.26564304314945,36.546672916412355,73.09963028039783,-0.04105809529622396,True,8,4096,0.5,10,0.001,0.001,1234
32,96.00801931234827,36.62850193977356,72.92486945167184,-0.03298518734593545,True,8,4096,0.5,10,0.001,0.001,1234
33,95.56169261646532,36.71437225341797,71.34862474538386,-0.04591299593448639,True,8,4096,0.5,10,0.001,0.001,1234
34,96.14376654440282,37.258553218841556,71.37769129965454,-0.09529645515210701,True,8,4096,0.5,10,0.001,0.001,1234
35,96.81667687936044,37.42557897567749,72.14576881378889,-0.018965917475083294,True,8,4096,0.5,10,0.001,0.001,1234
36,96.79485024410226,37.175040340423585,73.200529826805,-0.06035534994942801,True,8,4096,0.5,10,0.001,0.001,1234
37,96.72265804614739,37.72865028381348,71.97393131721765,-0.03033479717042711,True,8,4096,0.5,10,0.001,0.001,1234
38,97.26802177291057,38.225013446807864,70.77828443329781,-0.07084504978076832,True,8,4096,0.5,10,0.001,0.001,1234
39,97.12981058738818,38.08762102127075,71.34019945375621,-0.0939909909900866,True,8,4096,0.5,10,0.001,0.001,1234
40,97.60725327686677,38.3061692237854,72.26241349894553,-0.05911150345435509,True,8,4096,0.5,10,0.001,0.001,1234
41,97.60549978872857,37.98053617477417,72.89016221649945,-0.06065613031387329,True,8,4096,0.5,10,0.001,0.001,1234
42,97.61395717995408,37.83775596618652,71.5909290695563,-0.06642167161150676,True,8,4096,0.5,10,0.001,0.001,1234
43,97.80570801936787,38.230738162994385,70.79083910863847,-0.05234879539126441,True,8,4096,0.5,10,0.001,0.001,1234
44,98.19427131880218,39.0668776512146,71.31006488576531,0.017613239066545352,True,8,4096,0.5,10,0.001,0.001,1234
45,97.92702496672266,38.2455548286438,72.28695136960596,-0.04494786262512207,True,8,4096,0.5,10,0.001,0.001,1234
46,98.13649288229621,38.00040397644043,73.24223193060607,-0.04592125680711534,True,8,4096,0.5,10,0.001,0.001,1234
47,98.0276750554004,38.9432918548584,71.56394617911428,-0.10604114636130955,True,8,4096,0.5,10,0.001,0.001,1234
48,98.11867905146231,39.003232669830325,70.99350664392114,-0.10267150655705878,True,8,4096,0.5,10,0.001,0.001,1234
49,98.44611155701685,38.889412593841556,71.17528222780675,-0.029302656650543213,True,8,4096,0.5,10,0.001,0.001,1234
50,98.14244641245138,39.623181438446046,77.51320832967758,-0.07050004297373247,True,8,4096,0.5,10,0.001,0.001,1234
51,98.64167347542836,39.217066287994385,80.60090290941298,-0.1227911376953125,True,8,4096,0.5,10,0.001,0.001,1234
52,98.85827818169533,39.96531505584717,71.50866447668523,0.001523424597347484,True,8,4096,0.5,10,0.001,0.001,1234
53,98.40657596393325,39.40598068237305,71.30231881141663,-0.1116613562290485,True,8,4096,0.5,10,0.001,0.001,1234
