round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,alpha,warmup_rounds,rebuild_every,top_r
1,2.548,2.42,61.27123689651489,0.0,True,0.5,10,0,8
2,6.13,6.529999999999999,58.38242268562317,-0.31875610351562483,True,0.5,10,0,8
3,8.985999999999999,9.58,59.455809116363525,-0.21859101562500002,True,0.5,10,0,8
4,11.424,12.01,60.151461124420166,-0.16807809448242192,True,0.5,10,0,8
5,13.006,13.930000000000001,60.17448306083679,-0.0992923828125,True,0.5,10,0,8
6,14.956,15.75,61.07504987716675,-0.10921853637695315,True,0.5,10,0,8
7,16.53,17.24,61.61910653114319,-0.07564291992187497,True,0.5,10,0,8
8,17.485999999999997,18.34,61.8666558265686,-0.06748717651367189,True,0.5,10,0,8
9,18.716,19.64,62.56798195838928,-0.05570836791992182,True,0.5,10,0,8
10,19.486,20.599999999999998,62.21374320983887,-0.05616627807617185,True,0.5,10,0,8
11,19.794,20.62,61.4119017124176,-0.010690472412109474,True,0.5,10,0,8
12,19.914,20.580000000000002,61.27226448059082,-0.004024707031250063,True,0.5,10,0,8
13,20.355999999999998,20.95,63.258309841156006,-0.018897979736327918,True,0.5,10,0,8
14,20.284,21.12,61.2729606628418,-0.006821862792968858,True,0.5,10,0,8
15,20.374,21.29,61.27405619621277,-0.004201391601562498,True,0.5,10,0,8
16,20.712,21.36,61.16807842254639,-0.014913726806640604,True,0.5,10,0,8
17,21.048000000000002,21.84,61.42460536956787,-0.01980133056640625,True,0.5,10,0,8
18,21.284,21.91,60.779650926589966,0.0015027709960937052,True,0.5,10,0,8
19,21.88,22.82,61.069215536117554,-0.03125039672851555,True,0.5,10,0,8
20,22.044,22.82,60.412033796310425,-0.01678540039062506,True,0.5,10,0,8
21,22.272,23.330000000000002,60.89099979400635,-0.019473999023437473,True,0.5,10,0,8
22,22.96,23.77,61.364991188049316,-0.024386871337890616,True,0.5,10,0,8
23,23.49,24.32,61.04424524307251,-0.02415234985351571,True,0.5,10,0,8
24,23.983999999999998,24.66,62.80616354942322,-0.02346010131835934,True,0.5,10,0,8
25,24.526,24.84,60.48555850982666,-0.026253320312499984,True,0.5,10,0,8
26,25.056,25.290000000000003,61.095977783203125,-0.02288946533203138,True,0.5,10,0,8
27,25.524,25.91,60.96311092376709,-0.028892059326171803,True,0.5,10,0,8
28,26.384,26.33,61.22269892692566,-0.026314123535156143,True,0.5,10,0,8
29,26.601999999999997,26.290000000000003,60.97528791427612,-0.01625061645507806,True,0.5,10,0,8
30,27.362,27.01,60.68110942840576,-0.03212180175781274,True,0.5,10,0,8
31,27.895999999999997,27.49,60.865736961364746,-0.027950531005859248,True,0.5,10,0,8
32,28.105999999999998,27.79,61.13552737236023,-0.014652093505859476,True,0.5,10,0,8
33,28.926000000000002,28.54,61.19600176811218,-0.03264899291992185,True,0.5,10,0,8
34,29.576,29.03,61.051554679870605,-0.02809807739257808,True,0.5,10,0,8
35,30.152,29.4,60.99488687515259,-0.022706524658203265,True,0.5,10,0,8
36,28.98,28.87,63.31007361412048,0.0321708374023439,True,0.5,10,0,8
37,30.244,30.15,60.39703917503357,-0.027548992919921744,True,0.5,10,0,8
38,31.69,30.91,60.5301718711853,-0.036777575683593786,True,0.5,10,0,8
39,32.192,31.130000000000003,61.2714421749115,-0.02784320678710932,True,0.5,10,0,8
40,32.548,31.540000000000003,61.06877088546753,-0.01678324584960933,True,0.5,10,0,8
41,33.384,31.790000000000003,60.947182416915894,-0.024830206298828105,True,0.5,10,0,8
42,33.688,31.94,62.01614451408386,-0.010451318359374984,True,0.5,10,0,8
43,34.358,32.53,60.60713028907776,-0.028103308105468905,True,0.5,10,0,8
44,34.708,32.66,61.19334316253662,-0.008020776367187388,True,0.5,10,0,8
45,35.278,33.1,60.870567321777344,-0.0188697082519532,True,0.5,10,0,8
46,35.632000000000005,33.48,61.441046953201294,-0.011307348632812353,True,0.5,10,0,8
47,35.908,33.6,61.834712505340576,-0.017060723876953343,True,0.5,10,0,8
48,36.588,34.35,62.597241163253784,-0.017766482543945285,True,0.5,10,0,8
49,37.076,34.53,61.47212052345276,-0.010062213134765585,True,0.5,10,0,8
50,37.004,34.57,61.46131682395935,0.0006797058105469489,True,0.5,10,0,8
51,38.068000000000005,34.73,60.91268253326416,-0.025097601318359343,True,0.5,10,0,8
52,38.218,35.11,61.53004693984985,-0.012630944824218737,True,0.5,10,0,8
53,38.769999999999996,35.4,61.12701177597046,-0.005220489501953196,True,0.5,10,0,8
54,38.804,35.57,61.31650257110596,-0.010563201904296804,True,0.5,10,0,8
55,39.6,35.82,61.354708433151245,-0.011144528198242298,True,0.5,10,0,8
56,39.7,36.059999999999995,60.932621717453,-0.010031689453124848,True,0.5,10,0,8
57,39.129999999999995,35.980000000000004,61.24227976799011,0.0062477935791015685,True,0.5,10,0,8
58,40.576,36.19,61.742271900177,-0.016013925170898523,True,0.5,10,0,8
59,41.314,36.77,62.019466161727905,-0.014600781249999972,True,0.5,10,0,8
60,41.562,37.019999999999996,61.13450622558594,-0.009960360717773486,True,0.5,10,0,8
61,41.81,37.01,60.31608772277832,0.001445730590820382,True,0.5,10,0,8
62,42.71,36.94,61.0455846786499,-0.005804913330078066,True,0.5,10,0,8
63,42.624,37.35,61.47058987617493,-0.014695629882812523,True,0.5,10,0,8
64,43.064,37.54,60.64473104476929,-0.007156488037109288,True,0.5,10,0,8
65,43.47,37.47,61.007545948028564,-0.0014339294433595383,True,0.5,10,0,8
66,43.76,37.5,60.689772844314575,-0.003602636718750052,True,0.5,10,0,8
67,43.868,37.79,60.77794623374939,-0.006634765624999872,True,0.5,10,0,8
68,44.272,37.940000000000005,61.63517689704895,-0.0016699371337891122,True,0.5,10,0,8
69,44.856,38.15,60.92456007003784,-0.010805975341796791,True,0.5,10,0,8
70,45.06,38.279999999999994,61.81617546081543,-0.007044638061523667,True,0.5,10,0,8
71,45.513999999999996,38.22,62.99602770805359,-0.0014165588378904914,True,0.5,10,0,8
72,45.548,38.17,61.19096755981445,0.0027209228515626014,True,0.5,10,0,8
73,46.616,38.49,61.5630521774292,-0.006435653686523502,True,0.5,10,0,8
74,46.652,38.39,60.75916624069214,-0.0075107116699219215,True,0.5,10,0,8
75,46.884,38.65,61.49078154563904,0.006667861938476705,True,0.5,10,0,8
76,47.432,38.92,61.43798327445984,-0.002833300781249992,True,0.5,10,0,8
77,47.833999999999996,38.91,60.87523317337036,-0.003250329589843659,True,0.5,10,0,8
78,48.278,38.75,61.07057762145996,0.005973016357422001,True,0.5,10,0,8
79,48.59,38.84,60.60436511039734,6.970520019535797e-05,True,0.5,10,0,8
80,48.838,39.12,61.32746148109436,-0.006549703979492172,True,0.5,10,0,8
81,49.39,39.14,61.035622119903564,-0.004307144165039123,True,0.5,10,0,8
82,49.624,39.25,61.196935176849365,-0.0006214172363280923,True,0.5,10,0,8
83,49.868,39.24,64.02288484573364,0.004482116699218608,True,0.5,10,0,8
84,49.736000000000004,39.32,61.56533169746399,0.002477398681640519,True,0.5,10,0,8
85,50.556,39.43,61.15989017486572,-0.003950863647460956,True,0.5,10,0,8
86,50.946000000000005,39.69,61.257235288619995,-0.0027705657958985164,True,0.5,10,0,8
87,51.08200000000001,39.58,61.536378383636475,0.0036483367919921683,True,0.5,10,0,8
88,51.49,39.77,61.41887307167053,0.001476968383789057,True,0.5,10,0,8
89,51.49399999999999,39.83,61.293418884277344,0.009074816894531245,True,0.5,10,0,8
90,52.112,40.04,61.03314685821533,0.002193231201172008,True,0.5,10,0,8
91,52.382,39.83,61.48705744743347,0.010401541137695248,True,0.5,10,0,8
