round,acc_train,acc_test,round_time_sec,mean_FgT_loss
1,25.63385424054278,8.890086209774017,74.04065021965653,0.0
2,35.53360832214181,15.146484327316283,72.5949992928654,-0.5979375839233398
3,41.340871979920095,18.485317873954774,72.90428465232253,-0.6211158037185669
4,45.9585625422735,21.787446069717408,72.98218165151775,-0.21947058041890463
5,50.2439609631984,24.156788730621336,72.84540431201458,-0.4868241548538208
6,53.67893265173329,26.479997301101683,73.06570933945477,-0.4774120330810547
7,56.573674846328046,27.7680495262146,72.87512848246843,-0.6260786453882853
8,59.18605500874749,29.357152366638182,72.81861330289394,-0.5822477340698242
9,62.33936596919479,30.547548484802245,73.0851053763181,-0.4767601191997528
10,64.76144594700477,31.30219554901123,72.82786096539348,-0.43605221642388237
11,67.29293224531277,32.33600478172302,72.84617466200143,-0.4874943971633911
12,69.87774774177606,32.8195716381073,73.04711394757032,-0.4021884961561723
13,72.59655613764205,33.220972537994385,72.86296671442688,-0.47539714972178143
14,74.57961674650336,33.825767850875856,72.48345243744552,-0.3915451673360971
15,77.03045961135913,34.219086742401124,72.79028537124395,-0.40909814834594727
16,79.96229817968864,34.21033124923706,72.98977582715452,-0.40554684003194175
17,81.29427336715965,34.776400899887086,72.7036903463304,-0.34355783462524414
18,83.12591509462818,34.78886051177979,72.68720893748105,-0.1535960786482867
19,84.99662003451684,34.29216041564941,73.1594010880217,-0.26117636097802055
20,87.13362667828986,34.9760910987854,72.35094297025353,-0.22860552135266757
21,88.11019857433463,35.495689725875856,72.95625433605164,-0.20721898078918458
22,89.76626039487812,35.44282059669494,72.86519273929298,-0.10989133516947429
23,90.01557350211944,36.150660037994385,72.77015742752701,-0.13719602064652878
24,91.62395397557003,36.41264820098877,72.8675636453554,-0.04931658247242803
25,92.35100525762701,36.66655430793762,73.01785007305443,-0.14637781182924905
26,93.68966234724412,37.142376041412355,72.37397696636617,-0.08779796600341797
27,93.13522749006914,36.9938711643219,73.01577506400645,-0.07904631357926589
28,94.84811785502993,36.80327305793762,73.05306086037308,0.02046366091127749
29,94.14335471434615,36.97198281288147,73.07046556845307,-0.06636096749986921
30,95.40056141276713,37.461611080169675,72.777064233087,0.13429150088080044
31,94.39942416880325,36.69652462005615,72.93794683367014,0.007425848642985026
32,95.2874501904744,37.45790691375733,72.41555653978139,0.17138261948862382
33,95.41171782235696,37.13833508491516,73.1944048460573,0.00325162336230278
34,95.7625083908002,37.484172916412355,72.9760418664664,0.06410840063384085
35,95.96012954173719,37.63436136245728,73.11095187813044,0.078536215950461
36,96.74557637302378,38.293372774124144,72.99438801407814,0.18241067613874162
37,96.49450708398601,38.491379261016846,73.00526317674667,0.02381795644760132
38,96.76165476272033,38.420325946807864,72.89159881696105,0.06706933073095374
39,96.38930051000527,38.44625544548035,73.1341312173754,0.17020432572615773
40,97.27714402969123,38.76549029350281,72.95826312620193,0.1826943739866599
41,97.09314713975337,38.28091320991516,73.1249949010089,0.16268978714942933
42,97.25285582721565,38.909954166412355,73.13801178708673,0.07629713198033775
43,97.21727680332248,39.6083646774292,72.84935407433659,0.16706547850654238
44,97.27962894907884,39.22245407104492,72.95095245633274,-0.02826621643332548
45,97.56651266307216,39.47535018920898,72.89675209205598,0.045588704672726715
46,97.3066480070762,39.11738948822021,73.2179657611996,-0.006766600079006619
47,97.83806612490304,39.36321396827698,72.69541415758431,0.019612467807272205
48,97.62513764614793,39.055765056610106,72.81053944211453,0.035434296790589674
49,97.97360661065056,39.504310131073,72.9093401292339,-0.00989927351474762
50,98.06512040194578,40.117187309265134,72.71312001440674,0.06728574207850865
51,97.89770016736755,39.80266695022583,73.03243696782738,-0.03135379314422607
52,98.55193705248584,40.2030574798584,72.89713870268315,0.023991942405700684
53,97.66428598979407,40.55192604064941,73.14863690547645,0.08709657650727493
54,97.64627380790837,39.730266666412355,73.0985695803538,0.09107630207853497
55,98.00825274334447,40.111126041412355,73.11819231975824,-0.002652375786392777
56,98.10291715402892,40.51555757522583,72.89089039433748,0.03545458967035467
57,98.02177264192815,40.56202850341797,72.90748664457351,-0.026908252920423235
58,98.61144557100681,40.58425369262695,70.44547596760094,-0.04178452282621149
59,97.97816738490262,40.64890909194946,69.39548588730395,-0.05800483350096078
60,98.2654204305579,40.5024245262146,69.39866611175239,0.0747325864888854
61,98.3596784553428,40.15187225341797,69.37166938837618,-0.06524449984232585
62,98.46483881107369,41.082300424575806,69.43181276507676,0.2642346835527264
63,98.07531616918338,40.242456912994385,69.61780101805925,-0.004077842158655967
64,98.73576287339452,42.00700435638428,69.12436246313155,0.2741163344610305
65,98.18002243770013,40.1865571975708,69.36824835371226,0.2885046862065792
66,98.3720296404626,40.836813068389894,69.26739799790084,0.20831806109501766
67,98.20782580755545,40.402747821807864,69.07543817535043,-0.03778190143180616
68,98.67312240700932,40.980603504180905,69.45380156394094,0.11835179400088182
69,98.41103766001783,40.50612869262695,69.28254806995392,-0.049041407949784226
70,98.36403736990621,40.37412433624267,69.45193854067475,0.019058298373567886
71,98.3475984520434,40.8832839012146,69.16144922748208,-0.07740132468087332
72,98.37951284877246,40.912243938446046,68.92193723935634,0.011527450991348482
73,98.78998884836953,41.25370407104492,69.34721641428769,-0.034706175327301025
74,98.48365714320518,41.27727642059326,69.65602558571845,-0.12316599447433263
75,98.61086669159782,41.40557651519775,69.50932587124407,-0.07491385131268888
76,98.80826031466617,41.5961745262146,69.16381449066103,-0.08805021603902181
77,98.47192266300206,41.06512660980225,69.2300908351317,-0.14446811926992317
78,98.4208057846117,41.530172157287595,69.13558397162706,0.059374035178840934
79,98.70926507257931,41.89116373062134,69.23740186262876,0.20691433931008363
80,98.50385252353607,40.700430965423585,69.57307658251375,-0.050014447562302215
81,98.81363097525967,41.688442897796634,69.36764334514737,-0.051481544971466064
82,98.28335090786702,41.39917831420898,69.24602738302201,-0.09694822923636731
83,98.69848775290184,41.15806827545166,69.37761031650007,-0.09229231462246035
84,98.71486853230059,41.84603977203369,68.84430259931833,-0.09822742766644581
85,98.57251455595375,41.651737689971924,69.23484332486987,-0.12356361321040563
86,98.4979536412995,41.99252414703369,69.34162238333374,-0.06731641993803136
87,98.74584948932109,41.21733560562134,68.98795672226697,-0.09015920688939649
88,98.3135836480199,42.144733142852786,69.1129112271592,-0.048020242274492635
89,99.0615717271497,41.571255397796634,69.36930002458394,-0.15651160749522122
