round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,76.9645989996087,17.77175376415253,96.0621155211702,0.0,True,8,4096,0.1,10,0.001,0.001,1234
2,79.24819340805148,19.179013967514038,96.55347630567849,0.9527053833007812,True,8,4096,0.1,10,0.001,0.001,1234
3,79.86736646283478,20.18655707836151,97.64598342496902,-0.0779569149017334,True,8,4096,0.1,10,0.001,0.001,1234
4,80.74263006562137,21.45709867477417,96.89029120281339,-0.49352526664733887,True,8,4096,0.1,10,0.001,0.001,1234
5,81.12994914667578,20.49602642059326,97.25360438413918,-0.686237096786499,True,8,4096,0.1,10,0.001,0.001,1234
6,81.65687857132654,22.13092670440674,99.56889118347317,-0.2526569843292236,True,8,4096,0.1,10,0.001,0.001,1234
7,82.05557993968483,22.636045265197755,102.50236995983869,-0.8610070943832397,True,8,4096,0.1,10,0.001,0.001,1234
8,82.73190910378625,24.243669176101683,100.72820072155446,-0.8281018052782331,True,8,4096,0.1,10,0.001,0.001,1234
9,83.3211468656512,23.924434232711793,101.1102753682062,-0.29973042011260986,True,8,4096,0.1,10,0.001,0.001,1234
10,83.70519608947076,24.009294176101683,101.72066680900753,-1.0326001114315457,True,8,4096,0.1,10,0.001,0.001,1234
11,84.15920292973873,24.74440999031067,102.39947448670864,-0.7695990443229676,True,8,4096,0.1,10,0.001,0.001,1234
12,84.7375580096416,25.464372301101683,100.41752111446112,-0.7835393060337413,True,8,4096,0.1,10,0.001,0.001,1234
13,84.83864431146908,26.459792613983154,101.19411381240934,-0.8055360913276672,True,8,4096,0.1,10,0.001,0.001,1234
14,85.44492909099624,25.963092660903932,101.78871627990156,-0.8577452714626606,True,8,4096,0.1,10,0.001,0.001,1234
15,85.58780644765939,27.250134658813476,101.20487493742257,-0.7301529560770307,True,8,4096,0.1,10,0.001,0.001,1234
16,85.75371172060323,26.754108142852782,102.49456245731562,-0.653427251180013,True,8,4096,0.1,10,0.001,0.001,1234
17,86.33198958242647,26.665544176101683,100.33782554697245,-0.7913863584399223,True,8,4096,0.1,10,0.001,0.001,1234
18,86.31993095383257,26.934267282485962,100.91988398879766,-0.5821548560086418,True,8,4096,0.1,10,0.001,0.001,1234
19,86.82827285934243,27.346107244491577,101.53069529030472,-0.3209238714641995,True,8,4096,0.1,10,0.001,0.001,1234
20,86.9133127128144,28.298087215423585,100.83366802055389,-0.5247563876603779,True,8,4096,0.1,10,0.001,0.001,1234
21,87.3817659777638,28.475889015197755,101.4703759374097,-0.5710146307945252,True,8,4096,0.1,10,0.001,0.001,1234
22,87.40944501894748,27.683863162994385,102.74555226135999,-0.6391960723059518,True,8,4096,0.1,10,0.001,0.001,1234
23,87.63915741002457,28.159348011016846,102.62910329550505,-0.610844140703028,True,8,4096,0.1,10,0.001,0.001,1234
24,87.70952745397247,29.097858238220216,100.71642455086112,-0.604088835094286,True,8,4096,0.1,10,0.001,0.001,1234
25,88.04832506795137,29.248720264434816,101.90657483879477,-0.5307915210723877,True,8,4096,0.1,10,0.001,0.001,1234
26,88.13308973181731,29.067551183700562,101.5296232253313,-0.6614784717559814,True,8,4096,0.1,10,0.001,0.001,1234
27,88.58002695771236,29.194504308700562,99.70104971248657,-0.13695964904931876,True,8,4096,0.1,10,0.001,0.001,1234
28,88.43620211658586,28.939251089096068,100.4651294844225,-0.6300030725973623,True,8,4096,0.1,10,0.001,0.001,1234
29,88.74808375725783,29.57233295440674,100.93550425767899,-0.6566656742777143,True,8,4096,0.1,10,0.001,0.001,1234
30,89.1127511678753,30.432718229293823,103.7359546776861,-0.3523213904479454,True,8,4096,0.1,10,0.001,0.001,1234
