round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,77.30721449381872,17.72225215435028,105.68238294310868,0.0,True,8,2048,0.1,10,0.001,0.001,1234
2,79.07485680372298,18.13308181762695,110.61155852954835,-0.14764976501464844,True,8,2048,0.1,10,0.001,0.001,1234
3,78.55710411745375,18.912311387062072,112.96865640860051,0.0007539987564086914,True,8,2048,0.1,10,0.001,0.001,1234
4,76.24082244276727,19.546740341186524,114.48601240757853,0.8196004231770834,True,8,2048,0.1,10,0.001,0.001,1234
5,80.7890266224759,20.32058193683624,116.25216169562191,1.1665326952934265,True,8,2048,0.1,10,0.001,0.001,1234
6,81.52214023796469,20.73713629245758,118.18952834699303,-0.5415899276733398,True,8,2048,0.1,10,0.001,0.001,1234
7,81.82663401855464,21.907664346694947,119.10415976960212,-0.3989704449971517,True,8,2048,0.1,10,0.001,0.001,1234
8,81.77467509993838,22.277747869491577,120.36318923998624,0.1274901798793248,True,8,2048,0.1,10,0.001,0.001,1234
9,82.83981456512376,23.43244867324829,119.29465957172215,-0.08678677678108215,True,8,2048,0.1,10,0.001,0.001,1234
10,83.35917836818365,23.629108238220216,119.8505007950589,-0.19779038429260254,True,8,2048,0.1,10,0.001,0.001,1234
11,83.54268268709407,24.14096176624298,124.71875508408993,1.3008482217788697,True,8,2048,0.1,10,0.001,0.001,1234
12,84.73050039511256,25.23504858016968,121.33122376352549,0.8911522301760587,True,8,2048,0.1,10,0.001,0.001,1234
13,84.98548625976466,24.87473068237305,121.71650896500796,-0.5678236285845438,True,8,2048,0.1,10,0.001,0.001,1234
14,85.49192824511478,26.693157339096068,121.73834380786866,-0.44087853798499477,True,8,2048,0.1,10,0.001,0.001,1234
15,85.65927544192269,27.051791429519653,121.92754033114761,-0.10578349658421107,True,8,2048,0.1,10,0.001,0.001,1234
16,85.96920521514876,27.31344289779663,124.12569535151124,-0.5911114851633708,True,8,2048,0.1,10,0.001,0.001,1234
17,86.39578777498825,28.079876089096068,122.24477572087198,-0.32433053851127625,True,8,2048,0.1,10,0.001,0.001,1234
18,86.76584737511357,27.616177225112914,123.42412830982357,-0.7374895460465375,True,8,2048,0.1,10,0.001,0.001,1234
19,86.9340229595438,27.871093702316283,122.9754147734493,-0.47812644640604657,True,8,2048,0.1,10,0.001,0.001,1234
20,87.32578830792144,29.07799024581909,122.24912359006703,-0.4532710251055266,True,8,2048,0.1,10,0.001,0.001,1234
21,87.76139757015342,28.886381959915163,125.86135410983115,0.6657444119453431,True,8,2048,0.1,10,0.001,0.001,1234
22,87.78189295761983,28.271484327316283,121.51244011800736,0.336977481842041,True,8,2048,0.1,10,0.001,0.001,1234
23,88.18180661301449,29.409348011016846,121.95060758851469,0.3288610415025191,True,8,2048,0.1,10,0.001,0.001,1234
24,88.21620749930416,28.74865303039551,121.08842907100916,-0.9739598450453385,True,8,2048,0.1,10,0.001,0.001,1234
25,88.80393034776066,29.496228408813476,122.23182201664895,-0.4984230697154999,True,8,2048,0.1,10,0.001,0.001,1234
26,88.92327739723389,29.917497205734254,125.31739344354719,0.5817904758453369,True,8,2048,0.1,10,0.001,0.001,1234
27,88.88673272988252,30.543507480621336,121.97202339209616,-0.7785733021222628,True,8,2048,0.1,10,0.001,0.001,1234
28,89.22980107639057,30.65227632522583,123.19173840712756,-0.1805562619809751,True,8,2048,0.1,10,0.001,0.001,1234
29,89.4160049109574,30.89338617324829,121.85342855472118,0.4434325950486319,True,8,2048,0.1,10,0.001,0.001,1234
30,89.39653710504525,30.691338968276977,121.66833716724068,-1.054267089942406,True,8,2048,0.1,10,0.001,0.001,1234
31,90.02121328068353,31.009563589096068,126.60280159395188,-0.6798239151636759,True,8,2048,0.1,10,0.001,0.001,1234
32,90.08881354890366,31.03414602279663,121.58203906938434,-0.46646926479954876,True,8,2048,0.1,10,0.001,0.001,1234
33,89.8527617527917,32.14742708206177,121.76644080597907,-0.11236607283353806,True,8,2048,0.1,10,0.001,0.001,1234
34,90.35250245419313,31.990840435028076,122.29719505645335,0.3245402177174886,True,8,2048,0.1,10,0.001,0.001,1234
35,90.35362692530735,32.32522888183594,122.17376695852727,0.5293986236347872,True,8,2048,0.1,10,0.001,0.001,1234
36,90.69339115282364,31.9265221118927,125.20821334514767,-1.0778842278889247,True,8,2048,0.1,10,0.001,0.001,1234
37,90.73276883150876,32.57172689437866,122.32915910333395,-0.19228878286149767,True,8,2048,0.1,10,0.001,0.001,1234
