round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,57.40788530550507,34.49319763183594,109.91582164540887,0.0,True,4,512,0.5,10,0.001,0.001,1234
2,67.03052418173044,45.575161647796634,114.44947324506938,0.4855928421020508,True,4,512,0.5,10,0.001,0.001,1234
3,72.52388413391121,52.2353178024292,115.75297402497381,-0.680630087852478,True,4,512,0.5,10,0.001,0.001,1234
4,76.81567178171295,57.86132802963257,116.53547281585634,-0.40150268872578937,True,4,512,0.5,10,0.001,0.001,1234
5,79.43133769744126,63.14015340805054,116.84866814408451,-0.33112451434135437,True,4,512,0.5,10,0.001,0.001,1234
6,81.684056509805,66.75343475341796,116.83557037170976,-0.5147857189178466,True,4,512,0.5,10,0.001,0.001,1234
7,83.22992451905957,69.19079999923706,117.09039204381406,-0.3657028377056122,True,4,512,0.5,10,0.001,0.001,1234
8,84.37176923744218,70.33236789703369,116.49331331811845,-0.44484674079077585,True,4,512,0.5,10,0.001,0.001,1234
9,85.76860559640085,72.39931287765503,117.80830733571202,-0.205819733440876,True,4,512,0.5,10,0.001,0.001,1234
10,86.54575606968798,73.5469425201416,118.05128894839436,-0.2942715485890706,True,4,512,0.5,10,0.001,0.001,1234
11,87.82476331619189,74.25040416717529,120.49335918668658,-0.3423436045646667,True,4,512,0.5,10,0.001,0.001,1234
12,88.51629879562154,75.38995161056519,116.03195110987872,-0.28229882500388404,True,4,512,0.5,10,0.001,0.001,1234
13,88.99869993829186,75.36334838867188,116.18137945234776,-0.40371594329675037,True,4,512,0.5,10,0.001,0.001,1234
14,89.5572546252389,77.14102907180786,116.9174075666815,-0.2858719550646268,True,4,512,0.5,10,0.001,0.001,1234
15,90.33778230178106,77.29020700454711,117.96591554768384,-0.31508765050343107,True,4,512,0.5,10,0.001,0.001,1234
16,90.61042558196043,77.6397491455078,119.37851724494249,-0.12049060265223185,True,4,512,0.5,10,0.001,0.001,1234
17,91.2834917481743,78.68635520935058,114.55590472370386,-0.2637401185929775,True,4,512,0.5,10,0.001,0.001,1234
18,91.81801059216939,79.32415142059327,116.37455126363784,-0.24865390973932602,True,4,512,0.5,10,0.001,0.001,1234
19,91.92828291607775,79.34065208435058,117.86165004316717,-0.2612701389524672,True,4,512,0.5,10,0.001,0.001,1234
20,92.6024702485631,79.32819213867188,117.49596841260791,-0.32786433634005097,True,4,512,0.5,10,0.001,0.001,1234
21,92.87836643686964,80.24717140197754,119.77994006499648,-0.22835738360881805,True,4,512,0.5,10,0.001,0.001,1234
22,93.13945731994303,80.23201770782471,116.12711560446769,-0.10925730353309995,True,4,512,0.5,10,0.001,0.001,1234
23,93.54452065917158,81.27997016906738,116.74680141173303,-0.268210616978732,True,4,512,0.5,10,0.001,0.001,1234
24,94.03835267692182,81.3978313446045,117.60403556004167,-0.21351241287977799,True,4,512,0.5,10,0.001,0.001,1234
25,94.08107922037627,81.80360984802246,118.80945485923439,-0.29417065531015396,True,4,512,0.5,10,0.001,0.001,1234
26,94.38440760526109,81.50424289703369,118.71711401641369,-0.25044056892395017,True,4,512,0.5,10,0.001,0.001,1234
27,94.54652090737405,81.81034469604492,115.26119802426547,-0.1145118039387923,True,4,512,0.5,10,0.001,0.001,1234
28,94.84072267737076,82.2743803024292,119.8385993335396,-0.19315269699803106,True,4,512,0.5,10,0.001,0.001,1234
29,95.15277639670839,82.26495132446288,117.70201753079891,-0.07354615841593061,True,4,512,0.5,10,0.001,0.001,1234
30,95.08826037981673,81.93123645782471,118.54223562125117,-0.24117951146487532,True,4,512,0.5,10,0.001,0.001,1234
31,95.39822244198122,82.49730606079102,119.10607660003006,-0.10406566063563029,True,4,512,0.5,10,0.001,0.001,1234
32,95.55368845949589,82.80037708282471,114.89282563980669,-0.25736534210943407,True,4,512,0.5,10,0.001,0.001,1234
33,96.04399497772056,83.05731391906738,116.80120411235839,-0.2717855777591467,True,4,512,0.5,10,0.001,0.001,1234
34,96.0403910092814,83.4438980102539,117.80975567549467,-0.06136237130020604,True,4,512,0.5,10,0.001,0.001,1234
35,96.10849047955095,83.02128200531006,117.9057647343725,-0.20827230109887965,True,4,512,0.5,10,0.001,0.001,1234
36,96.28878672982316,83.32704734802246,118.72069624904543,-0.2540745667048863,True,4,512,0.5,10,0.001,0.001,1234
37,96.28348100250855,84.09954204559327,115.96737648267299,-0.11135261588626438,True,4,512,0.5,10,0.001,0.001,1234
38,96.60351714191576,84.11200141906738,116.85960681270808,-0.21722109092248454,True,4,512,0.5,10,0.001,0.001,1234
39,96.75260160825715,84.54977130889893,117.93028823565692,-0.2538691194433915,True,4,512,0.5,10,0.001,0.001,1234
40,96.68356584266647,84.04869327545165,118.09482057765126,-0.12021478322836068,True,4,512,0.5,10,0.001,0.001,1234
41,96.9357730931151,84.76124706268311,121.07445847336203,-0.14716030955314635,True,4,512,0.5,10,0.001,0.001,1234
42,97.06053983844996,84.07125549316406,116.09025292284787,-0.11546732448950046,True,4,512,0.5,10,0.001,0.001,1234
43,97.05405010950314,84.94612064361573,116.90116097871214,-0.15663584499132066,True,4,512,0.5,10,0.001,0.001,1234
44,97.36468769702,84.55818958282471,119.87712752725929,-0.25288529382195585,True,4,512,0.5,10,0.001,0.001,1234
45,97.2933070473846,84.82455520629883,118.20953295193613,-0.12300227176059376,True,4,512,0.5,10,0.001,0.001,1234
46,97.42343125308443,84.85587291717529,118.86062491964549,-0.27347436282369825,True,4,512,0.5,10,0.001,0.001,1234
47,97.33617982904505,84.3248249053955,114.11736120004207,-0.3094092892563861,True,4,512,0.5,10,0.001,0.001,1234
48,97.63624646340087,85.1357084274292,116.85730687715113,-0.2014758586883545,True,4,512,0.5,10,0.001,0.001,1234
49,97.7282606824956,85.34146022796631,117.53997120540589,-0.2505749848981698,True,4,512,0.5,10,0.001,0.001,1234
50,97.77495645760209,85.0208782196045,118.0734340371564,-0.11177359004409945,True,4,512,0.5,10,0.001,0.001,1234
51,97.33871033026452,84.87001628875733,118.53886200487614,-0.2124991536140442,True,4,512,0.5,10,0.001,0.001,1234
52,97.7979272236843,85.52498664855958,115.762351940386,-0.24105072664279564,True,4,512,0.5,10,0.001,0.001,1234
53,97.81772899906655,85.34146022796631,116.17891040351242,-0.06078918278217316,True,4,512,0.5,10,0.001,0.001,1234
54,97.8954286685615,85.61254024505615,117.9640692891553,-0.06863452690952229,True,4,512,0.5,10,0.001,0.001,1234
55,97.93438055953852,85.97891960144042,117.8754924768582,-0.28960396183861625,True,4,512,0.5,10,0.001,0.001,1234
56,98.07840712321001,85.53172130584717,119.72030499763787,-0.21026212518865411,True,4,512,0.5,10,0.001,0.001,1234
57,97.99193390912671,85.55327320098877,115.55388512648642,-0.173627677240542,True,4,512,0.5,10,0.001,0.001,1234
58,97.91312187200728,85.89338665008545,116.61892053019255,-0.19897530789960893,True,4,512,0.5,10,0.001,0.001,1234
59,98.1342499772396,86.09880123138427,112.4353167489171,-0.20451509387328706,True,4,512,0.5,10,0.001,0.001,1234
60,98.13801551829826,85.57314128875733,113.07327444572002,-0.22877855977769626,True,4,512,0.5,10,0.001,0.001,1234
61,98.22132891421522,86.11429176330566,119.13994701392949,-0.27461258371671043,True,4,512,0.5,10,0.001,0.001,1234
62,98.23053285392601,86.13719043731689,114.35095332469791,-0.06498191933162877,True,4,512,0.5,10,0.001,0.001,1234
63,98.26235441771067,85.74993267059327,115.72362411487848,-0.09431147575378418,True,4,512,0.5,10,0.001,0.001,1234
64,98.28445714135242,86.78643608093262,117.9175038812682,-0.21993259636182633,True,4,512,0.5,10,0.001,0.001,1234
65,98.42259015506653,86.2974811553955,118.76553042791784,-0.2132860952988267,True,4,512,0.5,10,0.001,0.001,1234
66,98.50718620882485,86.44093475341796,119.6025516120717,-0.06734083890914917,True,4,512,0.5,10,0.001,0.001,1234
67,98.59009722515482,86.53488674163819,114.2955833915621,-0.1943627189506184,True,4,512,0.5,10,0.001,0.001,1234
68,98.36985424653622,85.48861789703369,116.47478296235204,-0.26170708394762293,True,4,512,0.5,10,0.001,0.001,1234
69,98.58891998516219,86.25707168579102,117.90418893937021,-0.2125636488199234,True,4,512,0.5,10,0.001,0.001,1234
70,98.5227912282507,86.9854528427124,118.46929310355335,-0.2036227722098862,True,4,512,0.5,10,0.001,0.001,1234
71,98.39795974188463,86.79384422302246,119.48328957147896,-0.07597940947328295,True,4,512,0.5,10,0.001,0.001,1234
