round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,49.50397669046837,25.259294176101683,87.1383592588827,0.0,True,8,4096,0.5,10,0.001,0.001,1234
2,54.78703610967743,30.03771553039551,90.82710381317884,0.05922889709472656,True,8,4096,0.5,10,0.001,0.001,1234
3,57.35005621254818,33.52337007522583,90.72261068038642,-0.16084957122802734,True,8,4096,0.5,10,0.001,0.001,1234
4,60.10469490213846,37.03697466850281,91.38388573937118,-0.34029944737752277,True,8,4096,0.5,10,0.001,0.001,1234
5,62.31016412733455,39.4992591381073,91.37658641953021,-0.4266570210456848,True,8,4096,0.5,10,0.001,0.001,1234
6,64.12984059306766,41.891837167739865,90.78627937566489,-0.3803083419799805,True,8,4096,0.5,10,0.001,0.001,1234
7,65.7931797152612,43.610587215423585,91.0533378124237,-0.5944347977638245,True,8,4096,0.5,10,0.001,0.001,1234
8,67.70091543281463,46.533202981948854,93.15321617294103,-0.10563761847359794,True,8,4096,0.5,10,0.001,0.001,1234
9,69.07645172236803,48.16877689361572,91.31251765508205,-0.1928274929523468,True,8,4096,0.5,10,0.001,0.001,1234
10,69.91098807375802,49.72117433547974,91.33204876165837,-0.2595339086320665,True,8,4096,0.5,10,0.001,0.001,1234
11,71.13025793136032,51.448343181610106,91.37988263368607,-0.47549809217453004,True,8,4096,0.5,10,0.001,0.001,1234
12,72.18402867735547,52.695986080169675,91.52854510955513,-0.3382109620354392,True,8,4096,0.5,10,0.001,0.001,1234
13,73.07578650634682,53.53044166564941,90.92906994186342,-0.46825594703356427,True,8,4096,0.5,10,0.001,0.001,1234
14,73.9527965546657,55.00808172225952,91.48494698200375,-0.48289326521066517,True,8,4096,0.5,10,0.001,0.001,1234
15,74.65257415490296,55.66170511245728,91.5122699579224,-0.4634252446038382,True,8,4096,0.5,10,0.001,0.001,1234
16,75.43877885405105,57.494275379180905,92.33893187250942,-0.17130142847696941,True,8,4096,0.5,10,0.001,0.001,1234
17,75.84920388346659,56.39210653305054,91.34518636018038,-0.35060377418994904,True,8,4096,0.5,10,0.001,0.001,1234
18,76.43848014650524,58.55906505584717,90.84196432121098,-0.5027807004311505,True,8,4096,0.5,10,0.001,0.001,1234
19,77.17697199713857,58.775592708587645,91.57651047129184,-0.30631448825200397,True,8,4096,0.5,10,0.001,0.001,1234
20,77.82126638677693,58.494410037994385,90.93477418180555,-0.48186584836558294,True,8,4096,0.5,10,0.001,0.001,1234
21,78.47843419429975,59.50228977203369,91.67388915177435,-0.1842479646205902,True,8,4096,0.5,10,0.001,0.001,1234
22,78.9198547880162,61.90463352203369,90.90623985975981,-0.34343619857515606,True,8,4096,0.5,10,0.001,0.001,1234
23,79.22034480974074,61.79855861663818,93.83967726677656,-0.31947480548511853,True,8,4096,0.5,10,0.001,0.001,1234
24,79.88375532855636,63.34657850265503,90.82350117713213,-0.35770775701688684,True,8,4096,0.5,10,0.001,0.001,1234
25,80.42304640797387,62.275053882598876,90.6661428315565,-0.3650659918785095,True,8,4096,0.5,10,0.001,0.001,1234
26,81.07388533342365,64.3302128791809,91.81720139831305,-0.28207582473754883,True,8,4096,0.5,10,0.001,0.001,1234
27,80.85981702491969,64.37702026367188,90.79520109668374,-0.3523844824387477,True,8,4096,0.5,10,0.001,0.001,1234
28,81.78109840061202,65.28185596466065,91.00849647633731,-0.3717829253938463,True,8,4096,0.5,10,0.001,0.001,1234
29,81.8106470399206,66.47460918426513,90.84338220395148,-0.47309436329773497,True,8,4096,0.5,10,0.001,0.001,1234
30,82.17085044046112,65.46134147644042,92.55188289750367,-0.45535980832987816,True,8,4096,0.5,10,0.001,0.001,1234
