round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,32.2915736250262,5.945918625593185,95.75586107838899,0.0,True,4,512,0.1,10,0.001,0.001,1234
2,41.70837232875923,8.299097514152527,97.53551674075425,0.03819417953491211,True,4,512,0.1,10,0.001,0.001,1234
3,47.72289187014809,9.870352900028228,98.40908043645322,-0.34378647804260254,True,4,512,0.1,10,0.001,0.001,1234
4,52.523808179255276,11.544652438163757,99.63958002347499,-0.4537949562072754,True,4,512,0.1,10,0.001,0.001,1234
5,56.64021756226223,13.842268288135529,98.71392520237714,-0.6636933088302612,True,4,512,0.1,10,0.001,0.001,1234
6,60.47373344574972,15.068022608757019,99.46585557982326,-0.6955538749694824,True,4,512,0.1,10,0.001,0.001,1234
7,63.38851818897274,16.051656770706177,99.17588544078171,-0.8240503867467245,True,4,512,0.1,10,0.001,0.001,1234
8,65.48030244532802,18.027006936073303,98.97189800441265,-0.7165634972708566,True,4,512,0.1,10,0.001,0.001,1234
9,68.33037326678098,19.03353989124298,99.62842841725796,-0.7699795663356781,True,4,512,0.1,10,0.001,0.001,1234
10,70.64290109510051,19.947467637062072,102.37226935662329,-0.8070864942338731,True,4,512,0.1,10,0.001,0.001,1234
11,72.1838032350565,21.02909481525421,96.906848102808,-0.766308856010437,True,4,512,0.1,10,0.001,0.001,1234
12,73.57214631956722,22.241716027259827,97.09195551089942,-0.6775835427370939,True,4,512,0.1,10,0.001,0.001,1234
13,75.32814921489069,23.40315189361572,98.7928887149319,-0.8155845602353414,True,4,512,0.1,10,0.001,0.001,1234
14,76.9241543681634,24.209321165084837,99.74637159146369,-0.9100584433628962,True,4,512,0.1,10,0.001,0.001,1234
15,77.73923320385077,25.3168776512146,100.59001596551389,-0.7385143893105643,True,4,512,0.1,10,0.001,0.001,1234
16,78.98466285695989,26.125067281723023,97.45062180049717,-0.7992506345113118,True,4,512,0.1,10,0.001,0.001,1234
17,80.14038235542526,27.026872301101683,97.359080825001,-0.5167308300733566,True,4,512,0.1,10,0.001,0.001,1234
18,80.75777033590377,27.40739498138428,99.63542121648788,-0.8057277342852425,True,4,512,0.1,10,0.001,0.001,1234
19,81.64299663618522,28.460735416412355,98.56020439602435,-0.907394011815389,True,4,512,0.1,10,0.001,0.001,1234
20,82.9696931085893,28.531788778305053,98.93324455805123,-0.7995582254309404,True,4,512,0.1,10,0.001,0.001,1234
21,83.57866803523618,29.563577556610106,100.19242222234607,-0.7342437744140625,True,4,512,0.1,10,0.001,0.001,1234
22,85.00187095414871,30.165678882598876,97.4485914260149,-0.6605283873421806,True,4,512,0.1,10,0.001,0.001,1234
