round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,26.931525833108953,4.640355587005615,87.7368914373219,0.0,True,8,4096,0.1,10,0.001,0.001,1234
2,30.30799832518021,5.47952584028244,87.93962883297354,-0.26331043243408203,True,8,4096,0.1,10,0.001,0.001,1234
3,32.75497535620672,6.295797419548035,88.78044476918876,-0.44821810722351074,True,8,4096,0.1,10,0.001,0.001,1234
4,35.04187533173699,6.834253782033921,88.40021095238626,-0.3446818987528483,True,8,4096,0.1,10,0.001,0.001,1234
5,37.117634185912706,7.297279077768326,88.95063313283026,-0.5395212173461914,True,8,4096,0.1,10,0.001,0.001,1234
6,38.87870245012409,7.857287192344666,89.1210645083338,-0.5679923057556152,True,8,4096,0.1,10,0.001,0.001,1234
7,41.223126069437626,8.208176165819168,90.69466672837734,-0.6165202458699545,True,8,4096,0.1,10,0.001,0.001,1234
8,42.49306683736973,8.609577029943466,89.85827439837158,-0.5128488200051444,True,8,4096,0.1,10,0.001,0.001,1234
9,45.012880477253546,9.416082990169524,90.0207843342796,-0.5143406391143799,True,8,4096,0.1,10,0.001,0.001,1234
10,46.548059513076836,9.668305480480194,90.16532986331731,-0.6947142283121744,True,8,4096,0.1,10,0.001,0.001,1234
11,47.73868428475297,9.821524798870087,89.47832207661122,-0.8564389467239379,True,8,4096,0.1,10,0.001,0.001,1234
12,48.88659405887937,10.29801994562149,90.20873781573027,-0.849627819928256,True,8,4096,0.1,10,0.001,0.001,1234
13,50.371524096568535,10.83613954782486,89.09986172243953,-0.7293403148651123,True,8,4096,0.1,10,0.001,0.001,1234
14,51.375786030842676,11.163456344604493,89.7119668694213,-0.7384552038632907,True,8,4096,0.1,10,0.001,0.001,1234
15,52.95504106068917,11.456088304519653,90.03505938220769,-0.8761619329452515,True,8,4096,0.1,10,0.001,0.001,1234
16,54.38919033970783,12.162244057655334,91.44124182593077,-0.8340020497639974,True,8,4096,0.1,10,0.001,0.001,1234
17,55.31182019466969,12.046066808700562,89.21438744757324,-0.8335589319467545,True,8,4096,0.1,10,0.001,0.001,1234
18,56.152930509670306,12.764345335960389,88.97886983957142,-0.7129867076873779,True,8,4096,0.1,10,0.001,0.001,1234
19,57.31305016978588,13.10445852279663,89.51152431592345,-0.892937872144911,True,8,4096,0.1,10,0.001,0.001,1234
20,58.34434030019228,13.601158404350281,89.43280208762735,-0.9239718412098131,True,8,4096,0.1,10,0.001,0.001,1234
21,58.874251998203725,13.963496708869934,90.23547687288374,-0.8143768072128296,True,8,4096,0.1,10,0.001,0.001,1234
22,59.72761178728653,13.914668583869934,89.68599546421319,-0.9141485804603213,True,8,4096,0.1,10,0.001,0.001,1234
23,60.52237717392933,13.919383001327514,91.736881474033,-0.6948163726113059,True,8,4096,0.1,10,0.001,0.001,1234
24,62.18593635340013,14.783135759830476,89.8461455591023,-0.8629008272419805,True,8,4096,0.1,10,0.001,0.001,1234
25,62.55781881483333,15.009092092514038,89.4705985756591,-0.9180912673473358,True,8,4096,0.1,10,0.001,0.001,1234
26,62.29270936239292,15.212823247909546,90.06833854969591,-0.8383924293518067,True,8,4096,0.1,10,0.001,0.001,1234
27,63.97392076065948,15.605132031440736,90.0518606333062,-0.9076443727199848,True,8,4096,0.1,10,0.001,0.001,1234
28,63.73614682494902,15.60311155319214,88.96693057753146,-0.9174403172952158,True,8,4096,0.1,10,0.001,0.001,1234
29,64.8355026024577,15.97353174686432,90.56234049424529,-0.7819833925792149,True,8,4096,0.1,10,0.001,0.001,1234
30,65.92552005941897,16.07388198375702,89.79541487805545,-0.805090254750745,True,8,4096,0.1,10,0.001,0.001,1234
31,64.87793928801264,16.10048488378525,91.40472490899265,-0.8518825928370158,True,8,4096,0.1,10,0.001,0.001,1234
32,66.63584775426179,17.027545762062072,89.97819607425481,-0.8860710359388783,True,8,4096,0.1,10,0.001,0.001,1234
33,67.16897030943883,16.971645975112914,88.99832247849554,-0.8656825572252274,True,8,4096,0.1,10,0.001,0.001,1234
34,68.44299452737997,17.28684000968933,89.10886850394309,-0.8688274658087528,True,8,4096,0.1,10,0.001,0.001,1234
35,68.29745255222352,17.20130660533905,90.73838902451098,-0.7830424098407521,True,8,4096,0.1,10,0.001,0.001,1234
36,68.80018378165137,17.832031202316283,89.9921623216942,-0.8378503595079695,True,8,4096,0.1,10,0.001,0.001,1234
37,69.48830563321474,17.496295762062072,90.23045358248055,-0.8128659658961825,True,8,4096,0.1,10,0.001,0.001,1234
38,69.67762580588949,18.349609351158144,90.06063051335514,-0.8435255707921209,True,8,4096,0.1,10,0.001,0.001,1234
39,70.45919869162398,18.11018316745758,90.3244027113542,-0.7869088587008024,True,8,4096,0.1,10,0.001,0.001,1234
40,70.96991262975695,18.635843181610106,89.59501329064369,-0.8695835150205172,True,8,4096,0.1,10,0.001,0.001,1234
