round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,28.808074309667468,5.211139541864395,98.76941469311714,0.0,True,8,2048,0.1,10,0.001,0.001,1234
2,34.563815266527136,6.550040423870087,101.90885020326823,-0.1261758804321289,True,8,2048,0.1,10,0.001,0.001,1234
3,38.50246119144827,7.4784482538700106,104.14961649756879,-0.23142671585083008,True,8,2048,0.1,10,0.001,0.001,1234
4,41.35939397413808,8.417631983757019,105.59130534343421,-0.3077098528544108,True,8,2048,0.1,10,0.001,0.001,1234
5,44.24243149359913,8.95878232717514,106.9056331673637,-0.21055030822753906,True,8,2048,0.1,10,0.001,0.001,1234
6,46.92555666378534,9.967335665225983,107.4209626764059,-0.6987812042236328,True,8,2048,0.1,10,0.001,0.001,1234
7,49.15385120613053,10.420932137966156,108.31692322250456,-0.37980035940806073,True,8,2048,0.1,10,0.001,0.001,1234
8,51.531615489841556,11.339574289321899,108.78664153628051,-0.6768309048243931,True,8,2048,0.1,10,0.001,0.001,1234
9,54.097840144981205,11.76151670217514,111.35595381539315,-0.40685153007507324,True,8,2048,0.1,10,0.001,0.001,1234
10,56.04448040771499,12.700700449943543,108.72269961703569,-0.5191817548539903,True,8,2048,0.1,10,0.001,0.001,1234
11,58.08001132682633,13.341864228248596,113.45676462352276,-0.5141475915908813,True,8,2048,0.1,10,0.001,0.001,1234
12,58.96763390920781,13.839237594604493,109.95123748667538,-0.23348487507213245,True,8,2048,0.1,10,0.001,0.001,1234
13,61.19800823395144,14.345366406440736,110.40333691984415,-0.6586096485455831,True,8,2048,0.1,10,0.001,0.001,1234
14,62.43911702518344,14.75518581867218,110.4772593267262,-0.5613004611088679,True,8,2048,0.1,10,0.001,0.001,1234
15,63.06621031814493,15.144127130508423,110.9915903378278,-0.6369300058909825,True,8,2048,0.1,10,0.001,0.001,1234
16,64.43632891609442,15.939520406723023,114.99414246622473,-0.36475324630737305,True,8,2048,0.1,10,0.001,0.001,1234
17,66.2228943875774,16.43521010875702,110.6545246746391,-0.5955440551042557,True,8,2048,0.1,10,0.001,0.001,1234
18,67.35473011692422,17.20231683254242,110.0531490072608,-0.44632576493655934,True,8,2048,0.1,10,0.001,0.001,1234
19,68.44810863710356,18.28394396305084,113.12425986211747,-0.42198864618937176,True,8,2048,0.1,10,0.001,0.001,1234
20,69.98394194744549,17.871767163276672,111.51831342373043,-0.5267242255963778,True,8,2048,0.1,10,0.001,0.001,1234
21,70.53382062162964,18.442551159858702,114.25679879821837,-0.5698663592338562,True,8,2048,0.1,10,0.001,0.001,1234
22,71.78896032361683,18.415948224067687,111.16118097584695,-0.5997491450536818,True,8,2048,0.1,10,0.001,0.001,1234
