round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,21.44933191913273,8.3816002368927,103.4326566234231,0.0,True,4,512,0.5,10,0.001,0.001,1234
2,31.158871066345416,14.1335533618927,107.57874295860529,-0.647862434387207,True,4,512,0.5,10,0.001,0.001,1234
3,38.05715151138566,19.299232149124144,108.41043544374406,-0.5098862648010254,True,4,512,0.5,10,0.001,0.001,1234
4,44.69589567590418,23.210196685791015,109.47447786666453,-0.31338222821553546,True,4,512,0.5,10,0.001,0.001,1234
5,49.547134714553685,26.954808712005615,109.96581673715264,-0.806542158126831,True,4,512,0.5,10,0.001,0.001,1234
6,53.61401435818781,30.80414867401123,110.54948677588254,-0.7019504070281982,True,4,512,0.5,10,0.001,0.001,1234
7,57.79470972775822,34.514075899124144,110.92253954242915,-0.6000895500183105,True,4,512,0.5,10,0.001,0.001,1234
8,60.234119639274546,36.764547443389894,111.08168497495353,-0.8246644224439349,True,4,512,0.5,10,0.001,0.001,1234
9,63.237331360340626,39.467605113983154,110.66558238863945,-0.8897053897380829,True,4,512,0.5,10,0.001,0.001,1234
10,66.1319311652599,41.28973598480225,111.7665946977213,-0.8491405116187202,True,4,512,0.5,10,0.001,0.001,1234
11,68.76710078879759,43.06775321960449,113.10864023771137,-0.6795402526855469,True,4,512,0.5,10,0.001,0.001,1234
12,70.69107304710668,44.60162992477417,110.41436990816146,-0.8533248467878862,True,4,512,0.5,10,0.001,0.001,1234
13,72.12239957505653,46.18366098403931,107.78439937252551,-0.7203758756319681,True,4,512,0.5,10,0.001,0.001,1234
14,74.36967207307991,47.15382537841797,108.93220150936395,-0.7505049888904278,True,4,512,0.5,10,0.001,0.001,1234
15,76.45586784637283,47.9525860786438,108.70225733425468,-0.7149007490703038,True,4,512,0.5,10,0.001,0.001,1234
16,77.92233269334305,49.01400871276856,111.4890193361789,-0.667379895846049,True,4,512,0.5,10,0.001,0.001,1234
17,78.93977576970956,49.96868257522583,108.34201732184738,-0.7310534343123436,True,4,512,0.5,10,0.001,0.001,1234
18,80.49499781433201,50.971848011016846,107.29785102978349,-0.6468412525513593,True,4,512,0.5,10,0.001,0.001,1234
19,81.91229499253043,51.7904767036438,107.84742833767086,-0.7190802428457472,True,4,512,0.5,10,0.001,0.001,1234
20,83.44680003067113,51.963564014434816,108.66099593508989,-0.6434542191656012,True,4,512,0.5,10,0.001,0.001,1234
21,84.2058302290925,52.56936950683594,111.95654812362045,-0.6406920731067658,True,4,512,0.5,10,0.001,0.001,1234
22,85.17231146722455,53.590045642852786,108.0262833731249,-0.6250144867669969,True,4,512,0.5,10,0.001,0.001,1234
23,86.3388103168001,53.50484895706177,107.94065864104778,-0.49983802708712494,True,4,512,0.5,10,0.001,0.001,1234
24,87.46923184396539,54.5248517036438,108.36755077447742,-0.6056506789248922,True,4,512,0.5,10,0.001,0.001,1234
25,88.53902287839584,54.83667831420898,108.5004759253934,-0.5461698671181997,True,4,512,0.5,10,0.001,0.001,1234
26,88.904208495157,55.09630928039551,111.76387226488441,-0.584400224685669,True,4,512,0.5,10,0.001,0.001,1234
27,89.49412232724029,54.98821382522583,110.30845771636814,-0.5638933411011329,True,4,512,0.5,10,0.001,0.001,1234
28,90.29205407364279,55.803138256073,107.28765237797052,-0.5309666086126257,True,4,512,0.5,10,0.001,0.001,1234
29,91.29662713542648,56.1099136352539,108.13044334948063,-0.6001013815402985,True,4,512,0.5,10,0.001,0.001,1234
30,91.14711567291009,55.88159990310669,109.00772745162249,-0.4926448279413684,True,4,512,0.5,10,0.001,0.001,1234
31,91.78384231466735,56.029094791412355,111.74091320671141,-0.4038671930631002,True,4,512,0.5,10,0.001,0.001,1234
32,92.54754076042437,56.738617992401124,107.05816324520856,-0.46539337404312625,True,4,512,0.5,10,0.001,0.001,1234
33,92.85824566612482,56.6167160987854,107.34469721931964,-0.4199434109032154,True,4,512,0.5,10,0.001,0.001,1234
34,93.12868620321642,57.2265625,108.6154312081635,-0.4431993708466039,True,4,512,0.5,10,0.001,0.001,1234
35,93.73786130297955,57.215449810028076,108.75552576873451,-0.5147777129622066,True,4,512,0.5,10,0.001,0.001,1234
36,93.44609916756589,57.74212007522583,112.08494904078543,-0.4554794958659581,True,4,512,0.5,10,0.001,0.001,1234
37,94.41901321842172,58.65773162841797,108.34697701595724,-0.4323243664370643,True,4,512,0.5,10,0.001,0.001,1234
38,94.47245786062857,58.22871761322021,109.03955964371562,-0.3908030213536443,True,4,512,0.5,10,0.001,0.001,1234
39,95.0080162494752,58.7163254737854,108.02400870062411,-0.3928896188735962,True,4,512,0.5,10,0.001,0.001,1234
40,95.29205086992394,58.74158124923706,109.12378557119519,-0.40086111655602086,True,4,512,0.5,10,0.001,0.001,1234
41,95.29362094727233,58.58533134460449,116.8857579678297,-0.41886119842529296,True,4,512,0.5,10,0.001,0.001,1234
42,95.36995679858535,59.1763198852539,108.16240568924695,-0.37332240546621925,True,4,512,0.5,10,0.001,0.001,1234
43,95.54864373763472,58.64055757522583,109.61160611640662,-0.3883501064209711,True,4,512,0.5,10,0.001,0.001,1234
44,95.92494289958678,59.088092517852786,110.11555095948279,-0.3878931306129278,True,4,512,0.5,10,0.001,0.001,1234
45,95.72034305052769,59.131532955169675,110.22806025110185,-0.4313825883648612,True,4,512,0.5,10,0.001,0.001,1234
46,96.1509021965319,59.287109375,111.95633992552757,-0.35629474851820203,True,4,512,0.5,10,0.001,0.001,1234
47,96.02266647446956,59.30226287841797,108.7498590014875,-0.389557377151821,True,4,512,0.5,10,0.001,0.001,1234
48,96.30680919518865,59.81007537841797,109.4977470068261,-0.30311176624703917,True,4,512,0.5,10,0.001,0.001,1234
49,96.63475925912624,60.06667575836182,109.73549826163799,-0.3840361113349597,True,4,512,0.5,10,0.001,0.001,1234
50,96.85862910963192,59.991918087005615,110.9272600542754,-0.36189946593070516,True,4,512,0.5,10,0.001,0.001,1234
51,96.83158737219111,59.79896278381348,113.1053768703714,-0.3485499215126038,True,4,512,0.5,10,0.001,0.001,1234
52,96.50182201985909,59.87338342666626,108.19700155127794,-0.3441981053819843,True,4,512,0.5,10,0.001,0.001,1234
53,96.95977662156804,59.97676448822021,109.32671716529876,-0.3237377451016353,True,4,512,0.5,10,0.001,0.001,1234
54,96.95438564354625,60.68527755737305,110.08531797770411,-0.3702806391805973,True,4,512,0.5,10,0.001,0.001,1234
55,97.13017882187356,60.388267803192136,113.77343923598528,-0.33931536144680446,True,4,512,0.5,10,0.001,0.001,1234
56,96.86121976850136,60.09900321960449,112.93973728455603,-0.37066476995294745,True,4,512,0.5,10,0.001,0.001,1234
57,97.41733245460259,60.755993938446046,109.42820836324245,-0.3147531364645277,True,4,512,0.5,10,0.001,0.001,1234
58,97.48902733096457,61.11092386245728,108.65396757330745,-0.30339189788751436,True,4,512,0.5,10,0.001,0.001,1234
59,97.28726249845658,61.10890340805054,109.13541718386114,-0.36286141132486277,True,4,512,0.5,10,0.001,0.001,1234
60,97.47169253064457,61.38907604217529,108.58360709995031,-0.3515370296219648,True,4,512,0.5,10,0.001,0.001,1234
61,97.54337438184078,60.901131534576415,112.7931884713471,-0.2786105513572693,True,4,512,0.5,10,0.001,0.001,1234
62,97.54335130053184,61.438240718841556,109.65765131730586,-0.3019001913852379,True,4,512,0.5,10,0.001,0.001,1234
63,97.6416478709066,61.079606437683104,108.74854231998324,-0.30056796150822795,True,4,512,0.5,10,0.001,0.001,1234
64,97.82736677305866,60.88463096618652,109.87189250718802,-0.29628924150315544,True,4,512,0.5,10,0.001,0.001,1234
65,97.80727423663974,61.380993938446046,110.43529873061925,-0.24064294062554836,True,4,512,0.5,10,0.001,0.001,1234
66,97.78560176893156,61.556101608276364,113.35737488977611,-0.35107702842125527,True,4,512,0.5,10,0.001,0.001,1234
67,97.85884468477462,62.11610975265503,109.44419996999204,-0.28749952533028345,True,4,512,0.5,10,0.001,0.001,1234
68,97.71333135973043,61.40658664703369,107.8102359212935,-0.3279477037600617,True,4,512,0.5,10,0.001,0.001,1234
69,98.06650193757511,61.68339147567749,111.87933259271085,-0.3062972812091603,True,4,512,0.5,10,0.001,0.001,1234
70,97.79565991912014,61.95043087005615,109.27764987386763,-0.2997745638308318,True,4,512,0.5,10,0.001,0.001,1234
71,98.07491745830916,62.14540662765503,112.73418334778398,-0.298338292326246,True,4,512,0.5,10,0.001,0.001,1234
72,97.9233928574918,62.613146495819095,108.56194604746997,-0.311466247263089,True,4,512,0.5,10,0.001,0.001,1234
73,98.3907114059002,62.470366382598876,109.28450241405517,-0.31061168015003204,True,4,512,0.5,10,0.001,0.001,1234
74,98.25651304211459,62.56263465881348,109.50573174841702,-0.24915160871531866,True,4,512,0.5,10,0.001,0.001,1234
75,97.99472692514323,62.590921020507814,109.49769708886743,-0.2610880023724324,True,4,512,0.5,10,0.001,0.001,1234
76,98.32898934866842,62.79296846389771,112.13971027452499,-0.24949029286702473,True,4,512,0.5,10,0.001,0.001,1234
77,98.45517126065383,62.68992433547974,109.53916023112833,-0.3085159235878995,True,4,512,0.5,10,0.001,0.001,1234
78,98.31853665654141,62.596646022796634,108.70228232536465,-0.3074013629516998,True,4,512,0.5,10,0.001,0.001,1234
79,98.37281776067786,62.43736515045166,109.21243865601718,-0.29256805853965956,True,4,512,0.5,10,0.001,0.001,1234
80,98.41899047771793,62.81990833282471,109.1028713202104,-0.2776702672620363,True,4,512,0.5,10,0.001,0.001,1234
81,98.28493072423899,63.34657850265503,112.94618856161833,-0.2932716250419617,True,4,512,0.5,10,0.001,0.001,1234
82,98.50637277206738,63.16743001937866,108.16731001157314,-0.23212588569264353,True,4,512,0.5,10,0.001,0.001,1234
83,98.4779673970164,62.811152935028076,112.93235051166266,-0.28280939416187567,True,4,512,0.5,10,0.001,0.001,1234
84,98.43274941980715,63.26239223480225,108.97890632040799,-0.29680982986128474,True,4,512,0.5,10,0.001,0.001,1234
85,98.66612805232067,63.372171306610106,109.57496931124479,-0.25203288594881695,True,4,512,0.5,10,0.001,0.001,1234
86,98.62794297299972,62.87311410903931,112.55029345210642,-0.28732058440937713,True,4,512,0.5,10,0.001,0.001,1234
87,98.4988869934359,63.32873134613037,107.86384864151478,-0.2850536385247874,True,4,512,0.5,10,0.001,0.001,1234
88,98.59838441046887,63.59610710144043,108.71054313331842,-0.27408738656975756,True,4,512,0.5,10,0.001,0.001,1234
89,98.6769718656473,63.55098304748535,108.50658443942666,-0.2884434989907525,True,4,512,0.5,10,0.001,0.001,1234
90,98.5811349952805,63.49407329559326,108.72443816438317,-0.2824472577384349,True,4,512,0.5,10,0.001,0.001,1234
91,98.67872764582843,64.13860454559327,112.11403388530016,-0.24119923777050442,True,4,512,0.5,10,0.001,0.001,1234
92,98.74197800583781,63.85371761322021,108.50821833312511,-0.2081359402163998,True,4,512,0.5,10,0.001,0.001,1234
93,98.45967749311998,63.57724924087525,109.1433731354773,-0.16425537674323373,True,4,512,0.5,10,0.001,0.001,1234
94,98.48159450664524,63.36442642211914,110.88255921658128,-0.2328040676732217,True,4,512,0.5,10,0.001,0.001,1234
95,98.71786192007254,63.76986780166626,111.04978823754936,-0.23457563811160148,True,4,512,0.5,10,0.001,0.001,1234
96,98.91776960288597,63.96248645782471,113.07645879872143,-0.24264953889344867,True,4,512,0.5,10,0.001,0.001,1234
97,98.73994956433322,63.98370122909546,109.7173048472032,-0.252617829789718,True,4,512,0.5,10,0.001,0.001,1234
98,98.88615965725577,64.00154886245727,110.77564110327512,-0.2554163342898654,True,4,512,0.5,10,0.001,0.001,1234
99,99.02313702254764,64.29653806686402,110.18929803743958,-0.21011309477747703,True,4,512,0.5,10,0.001,0.001,1234
100,98.83415905151723,64.4379711151123,110.56500131543726,-0.23197770961607345,True,4,512,0.5,10,0.001,0.001,1234
101,98.90119325236716,64.46356401443481,112.9914063969627,-0.19646196007728578,True,4,512,0.5,10,0.001,0.001,1234
102,99.07523887525792,64.7198272705078,107.85504580382258,-0.24443585447745747,True,4,512,0.5,10,0.001,0.001,1234
103,99.00658555895205,64.45076780319214,108.00434502866119,-0.23540508162741566,True,4,512,0.5,10,0.001,0.001,1234
104,98.9843740915028,64.55010766983033,108.51702450402081,-0.20456322998676485,True,4,512,0.5,10,0.001,0.001,1234
105,98.76136579812689,64.43628768920898,109.72603960055858,-0.267214922950818,True,4,512,0.5,10,0.001,0.001,1234
106,98.89788143395246,64.74979782104492,113.4022325007245,-0.2549152249381656,True,4,512,0.5,10,0.001,0.001,1234
107,99.00083635829415,64.52316799163819,109.06034096423537,-0.22958121322235972,True,4,512,0.5,10,0.001,0.001,1234
108,98.91927770764546,64.87304706573487,108.77600897289813,-0.2746931748969533,True,4,512,0.5,10,0.001,0.001,1234
109,98.96516429076868,64.77134971618652,108.44523009005934,-0.26139417401066534,True,4,512,0.5,10,0.001,0.001,1234
110,98.96057785745299,65.16365814208984,109.87686371989548,-0.20065359128724544,True,4,512,0.5,10,0.001,0.001,1234
111,98.85783316752959,64.3827452659607,112.73355281259865,-0.2778198404745622,True,4,512,0.5,10,0.001,0.001,1234
112,98.99357488070098,65.13200407028198,110.98922959249467,-0.2634948169862902,True,4,512,0.5,10,0.001,0.001,1234
