round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,15.27541314572647,5.460331362485886,96.63290410395712,0.0,True,8,4096,0.5,10,0.001,0.001,1234
2,18.573402034435112,7.164938044548035,97.2500453684479,-0.05677986145019531,True,8,4096,0.5,10,0.001,0.001,1234
3,21.462806622789163,8.396080279350281,97.20846114773303,-0.21326875686645508,True,8,4096,0.5,10,0.001,0.001,1234
4,23.392412330865774,9.866311931610108,97.93160574696958,-0.3756193319956462,True,8,4096,0.5,10,0.001,0.001,1234
5,25.69569471350538,11.112944483757019,98.05324358865619,-0.3284403681755066,True,8,4096,0.5,10,0.001,0.001,1234
6,27.7165469142492,11.575969803333283,97.59037140756845,-0.4207273483276367,True,8,4096,0.5,10,0.001,0.001,1234
7,29.346041190836814,13.060344815254211,97.10695144347847,-0.37581078211466473,True,8,4096,0.5,10,0.001,0.001,1234
8,31.334078724739452,14.296201539039611,101.06166527047753,-0.3556825433458601,True,8,4096,0.5,10,0.001,0.001,1234
9,33.12382782388865,15.167025828361512,97.8387601589784,-0.41042929887771606,True,8,4096,0.5,10,0.001,0.001,1234
10,34.80769031723908,16.675309801101683,96.79321132227778,-0.5458725558386909,True,8,4096,0.5,10,0.001,0.001,1234
11,36.617496837953105,17.46834592819214,97.99751661904156,-0.5367183685302734,True,8,4096,0.5,10,0.001,0.001,1234
12,37.67163006939173,19.066877722740173,96.78776195738465,-0.5461993000724099,True,8,4096,0.5,10,0.001,0.001,1234
13,39.70171638131718,19.980468678474427,97.22384845651686,-0.6140455404917399,True,8,4096,0.5,10,0.001,0.001,1234
14,40.80093131783211,20.434738683700562,97.34598238300532,-0.5927496139819806,True,8,4096,0.5,10,0.001,0.001,1234
15,41.86911378263994,21.71841323375702,97.97975079063326,-0.6885537249701363,True,8,4096,0.5,10,0.001,0.001,1234
16,43.74779879833408,22.357219839096068,98.29629989434034,-0.6564370314280192,True,8,4096,0.5,10,0.001,0.001,1234
17,44.89428989493329,23.18999195098877,96.57669528480619,-0.5852450579404831,True,8,4096,0.5,10,0.001,0.001,1234
18,45.62182094349241,23.951373958587645,97.22050135489553,-0.6537894501405603,True,8,4096,0.5,10,0.001,0.001,1234
19,47.46885914957527,24.835331296920778,96.30580594111234,-0.7566822237438626,True,8,4096,0.5,10,0.001,0.001,1234
20,48.1989369114778,25.435075330734254,97.88603852503002,-0.7490135995965255,True,8,4096,0.5,10,0.001,0.001,1234
21,49.18456343406132,26.068157339096068,98.08735421393067,-0.7213514804840088,True,8,4096,0.5,10,0.001,0.001,1234
22,50.49961190816093,26.65678882598877,96.95198227465153,-0.7061810947599865,True,8,4096,0.5,10,0.001,0.001,1234
23,51.231134061225625,28.78434796333313,101.1399200214073,-0.7445896105332808,True,8,4096,0.5,10,0.001,0.001,1234
24,52.35213538075859,28.270474100112914,98.21757491584867,-0.708237886428833,True,8,4096,0.5,10,0.001,0.001,1234
25,52.96087252764811,29.102236032485962,97.03331060800701,-0.663229356209437,True,8,4096,0.5,10,0.001,0.001,1234
26,54.1358719715159,30.167362546920778,97.88182520866394,-0.7475023603439331,True,8,4096,0.5,10,0.001,0.001,1234
27,54.84694850907439,31.00114483833313,96.10293766949326,-0.6915222314687876,True,8,4096,0.5,10,0.001,0.001,1234
28,55.70476407722738,31.243601894378664,97.06254578754306,-0.7656474466677066,True,8,4096,0.5,10,0.001,0.001,1234
29,56.0616202875132,31.930899715423585,96.74293848127127,-0.7354146582739693,True,8,4096,0.5,10,0.001,0.001,1234
30,57.00375242609285,32.29795246124267,97.43926423694938,-0.7053610209760994,True,8,4096,0.5,10,0.001,0.001,1234
31,57.78207740232898,32.2982892036438,97.8846882963553,-0.7045312603314717,True,8,4096,0.5,10,0.001,0.001,1234
32,58.682720075010806,33.15530705451965,96.36853988468647,-0.7195007147327546,True,8,4096,0.5,10,0.001,0.001,1234
33,58.98068047948453,34.49925899505615,96.51741674914956,-0.7654182575643063,True,8,4096,0.5,10,0.001,0.001,1234
34,59.651910253430664,34.617120027542114,97.62119360268116,-0.6716575225194296,True,8,4096,0.5,10,0.001,0.001,1234
35,60.63263519488736,34.411705350875856,97.20028468593955,-0.7301930469625136,True,8,4096,0.5,10,0.001,0.001,1234
36,60.97211917112745,35.33943953514099,97.16697420179844,-0.7296477215630668,True,8,4096,0.5,10,0.001,0.001,1234
37,61.94592527065494,35.45393314361572,96.74279344920069,-0.7148795260323418,True,8,4096,0.5,10,0.001,0.001,1234
38,62.36837991400792,35.58122291564941,100.28530028089881,-0.7186933272593731,True,8,4096,0.5,10,0.001,0.001,1234
39,62.96089452108886,36.092739486694335,97.37573580350727,-0.7320339334638495,True,8,4096,0.5,10,0.001,0.001,1234
40,63.3140241139533,35.6313982963562,97.16006486769766,-0.7060106503657806,True,8,4096,0.5,10,0.001,0.001,1234
41,63.87402615003358,36.00350213050842,97.67283158190548,-0.7303748071193695,True,8,4096,0.5,10,0.001,0.001,1234
42,64.62744035738906,37.42860975265503,96.18684757780284,-0.7114132293840734,True,8,4096,0.5,10,0.001,0.001,1234
43,65.10385847480232,37.53232736587525,96.23979355487972,-0.7214980352492559,True,8,4096,0.5,10,0.001,0.001,1234
44,65.61301736985222,37.70103721618652,97.79343993868679,-0.7028663823770922,True,8,4096,0.5,10,0.001,0.001,1234
45,66.18695348610837,38.68029346466064,97.12861092481762,-0.6965859857472506,True,8,4096,0.5,10,0.001,0.001,1234
46,66.57913611945501,38.74999990463257,99.03567714430392,-0.71865873336792,True,8,4096,0.5,10,0.001,0.001,1234
47,67.24857576145328,38.7924298286438,95.78500266745687,-0.7169971517894579,True,8,4096,0.5,10,0.001,0.001,1234
48,67.80607293623554,39.5258620262146,98.03749674838036,-0.6747110600167132,True,8,4096,0.5,10,0.001,0.001,1234
49,68.15336390093417,39.72588901519775,97.32929165102541,-0.7047331308325132,True,8,4096,0.5,10,0.001,0.001,1234
