round,acc_train,acc_test,round_time_sec,mean_FgT_loss,projection,top_r,feature_mem_cap,alpha,num_users,lr_server,lr_client,seed
1,18.054545311093545,7.021147632598877,98.9604980936274,0.0,True,8,2048,0.5,10,0.001,0.001,1234
2,23.97937483016762,9.939385735988617,101.45584728848189,-0.09717416763305664,True,8,2048,0.5,10,0.001,0.001,1234
3,28.31616738930536,12.44511046409607,104.7020100876689,-0.2619185447692871,True,8,2048,0.5,10,0.001,0.001,1234
4,31.62719791043305,14.61139543056488,104.88344669993967,-0.5090445677439371,True,8,2048,0.5,10,0.001,0.001,1234
5,35.03193964982006,17.754916429519653,105.95459090173244,-0.5863739252090454,True,8,2048,0.5,10,0.001,0.001,1234
6,38.109041925626755,18.90827043056488,105.44853637833148,-0.6455652236938476,True,8,2048,0.5,10,0.001,0.001,1234
7,40.6648460384346,20.50680227279663,105.51668001152575,-0.6813820600509644,True,8,2048,0.5,10,0.001,0.001,1234
8,43.719076498731425,22.8249596118927,106.26777897588909,-0.7219302654266357,True,8,2048,0.5,10,0.001,0.001,1234
9,46.056870202531215,24.84172954559326,109.72084934078157,-0.6157703399658203,True,8,2048,0.5,10,0.001,0.001,1234
10,48.4533227059764,26.386045265197755,107.15135502815247,-0.6716902785831027,True,8,2048,0.5,10,0.001,0.001,1234
11,50.53072910553875,27.93776936531067,110.27721258997917,-0.6862065076828003,True,8,2048,0.5,10,0.001,0.001,1234
12,52.359420096655526,29.395541381835937,107.19553762022406,-0.7477419159629128,True,8,2048,0.5,10,0.001,0.001,1234
13,54.602928325920765,31.006532764434816,107.34676635731012,-0.6653715173403422,True,8,2048,0.5,10,0.001,0.001,1234
14,56.3901509159517,32.132610416412355,108.30955584160984,-0.7491721556736872,True,8,2048,0.5,10,0.001,0.001,1234
15,57.57040806298446,33.58735179901123,107.8053631670773,-0.6914432389395577,True,8,2048,0.5,10,0.001,0.001,1234
16,59.74635848287594,34.41844019889832,111.95639134477824,-0.7269956906636555,True,8,2048,0.5,10,0.001,0.001,1234
17,60.98973774383082,35.12830009460449,107.57967584207654,-0.6743253916501999,True,8,2048,0.5,10,0.001,0.001,1234
18,62.790750645431295,37.283472537994385,107.56057941075414,-0.7514587570639217,True,8,2048,0.5,10,0.001,0.001,1234
19,63.65175133846731,38.14486789703369,111.56664444040507,-0.7022805346382989,True,8,2048,0.5,10,0.001,0.001,1234
20,65.60217053333828,38.52976818084717,108.83797428943217,-0.8299494793540553,True,8,2048,0.5,10,0.001,0.001,1234
21,66.45178749665054,39.51205539703369,112.34797941241413,-0.7626415729522705,True,8,2048,0.5,10,0.001,0.001,1234
22,68.20893454190629,40.260977840423585,107.43141640722752,-0.7306004365285238,True,8,2048,0.5,10,0.001,0.001,1234
23,68.7169694396861,40.59671316146851,109.76426646020263,-0.6993724161928351,True,8,2048,0.5,10,0.001,0.001,1234
24,70.92403068963554,41.91305208206177,108.49352278374135,-0.7242310876431672,True,8,2048,0.5,10,0.001,0.001,1234
25,71.5443038022693,42.223868465423585,108.81388630438596,-0.6853018800417582,True,8,2048,0.5,10,0.001,0.001,1234
26,72.79994889389735,42.75255928039551,110.83042236510664,-0.7298759365081787,True,8,2048,0.5,10,0.001,0.001,1234
27,74.2948558331997,43.308189678192136,107.74096348509192,-0.7211764959188608,True,8,2048,0.5,10,0.001,0.001,1234
28,74.98687520589037,43.70319242477417,108.15419434942305,-0.7153100349284984,True,8,2048,0.5,10,0.001,0.001,1234
29,76.24362027322118,44.224474620819095,111.60940581187606,-0.6470738308770316,True,8,2048,0.5,10,0.001,0.001,1234
30,76.9804795100105,44.607017803192136,109.02538688573986,-0.709827053135839,True,8,2048,0.5,10,0.001,0.001,1234
31,78.13221541878328,44.71848049163818,112.07583887688816,-0.7240885972976685,True,8,2048,0.5,10,0.001,0.001,1234
32,78.974399633546,45.35829753875733,107.37027620431036,-0.668743371963501,True,8,2048,0.5,10,0.001,0.001,1234
33,79.67198618073321,45.757677745819095,108.13751755002886,-0.623800978064537,True,8,2048,0.5,10,0.001,0.001,1234
34,80.42115069571325,46.32610464096069,107.81336022354662,-0.6596499681472778,True,8,2048,0.5,10,0.001,0.001,1234
35,81.09943174593143,46.848060321807864,107.77909182477742,-0.6580204718253192,True,8,2048,0.5,10,0.001,0.001,1234
36,82.18372695260993,46.8032732963562,112.25391741655767,-0.5516468048095703,True,8,2048,0.5,10,0.001,0.001,1234
37,83.44846092327393,47.28818702697754,108.22378811240196,-0.6281736956702338,True,8,2048,0.5,10,0.001,0.001,1234
38,83.93886475561507,47.1864896774292,109.35203628987074,-0.600243777842135,True,8,2048,0.5,10,0.001,0.001,1234
